,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.011,0.99,0.992,0.988,0.18,0.18,0,896.1
1,0.437,0.193,0.538,0.216,0.35,0.179,20,326.427
2,0.148,0.908,0.852,0.974,0.475,0.178,40,335.274
3,0.102,0.922,0.892,0.957,0.467,0.177,60,325.687
4,0.074,0.938,0.907,0.971,0.462,0.177,80,331.051
5,0.07,0.94,0.94,0.94,0.46,0.176,100,334.203
6,0.069,0.937,0.909,0.97,0.467,0.175,120,343.948
7,0.053,0.96,0.957,0.964,0.457,0.174,140,343.883
8,0.048,0.962,0.957,0.968,0.469,0.173,160,347.999
9,0.053,0.961,0.957,0.964,0.478,0.172,180,347.652
10,0.042,0.973,0.957,0.989,0.49,0.171,200,368.131
11,0.05,0.968,0.949,0.986,0.483,0.169,240,350.203
12,0.056,0.955,0.957,0.954,0.479,0.168,280,367.64
13,0.044,0.972,0.964,0.98,0.481,0.166,320,360.563
14,0.061,0.964,0.96,0.968,0.464,0.165,360,354.458
15,0.043,0.976,0.966,0.986,0.465,0.163,400,372.001
16,0.026,0.984,0.982,0.986,0.464,0.162,440,375.092
17,0.023,0.986,0.989,0.982,0.458,0.16,480,373.794
18,0.023,0.986,0.986,0.986,0.458,0.159,520,377.041
19,0.023,0.986,0.988,0.984,0.461,0.157,560,384.601
20,0.022,0.981,0.977,0.986,0.463,0.155,600,389.173
21,0.024,0.981,0.974,0.987,0.461,0.153,640,389.623
22,0.022,0.985,0.981,0.988,0.462,0.151,680,386.544
23,0.028,0.981,0.974,0.988,0.464,0.149,720,391.768
24,0.021,0.98,0.978,0.982,0.463,0.147,760,397.371
25,0.017,0.985,0.982,0.988,0.464,0.145,800,383.982
26,0.018,0.987,0.983,0.991,0.463,0.143,840,391.724
27,0.017,0.985,0.979,0.991,0.461,0.142,880,397.13
28,0.02,0.981,0.976,0.986,0.463,0.139,920,398.284
29,0.016,0.981,0.973,0.99,0.461,0.138,960,410.193
30,0.019,0.981,0.973,0.989,0.459,0.136,1000,415.36
