,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.077,0.946,0.919,0.976,200,200,309.102,0.194,0.179
1,0.058,0.964,0.953,0.976,240,220,340.181,0.224,0.178
2,0.041,0.975,0.968,0.982,280,240,343.423,0.253,0.177
3,0.026,0.985,0.985,0.986,320,260,355.299,0.281,0.175
4,0.028,0.983,0.986,0.981,360,280,354.818,0.303,0.173
5,0.017,0.989,0.991,0.987,400,300,349.334,0.33,0.171
6,0.016,0.99,0.99,0.989,440,320,358.576,0.345,0.169
7,0.019,0.988,0.987,0.989,480,340,367.941,0.36,0.167
8,0.017,0.989,0.988,0.99,520,360,365.076,0.368,0.165
9,0.018,0.986,0.988,0.985,560,380,368.658,0.377,0.163
10,0.016,0.989,0.991,0.988,600,400,381.511,0.387,0.161
11,0.018,0.988,0.99,0.986,640,420,379.702,0.394,0.159
12,0.019,0.988,0.989,0.987,680,440,379.849,0.4,0.157
13,0.016,0.989,0.99,0.988,720,460,379.473,0.405,0.155
14,0.016,0.989,0.99,0.989,760,480,384.259,0.41,0.153
15,0.014,0.99,0.991,0.988,800,500,391.465,0.414,0.151
16,0.016,0.988,0.988,0.988,840,520,389.328,0.419,0.149
17,0.014,0.99,0.992,0.987,880,540,391.647,0.423,0.147
18,0.016,0.988,0.991,0.986,920,560,398.379,0.427,0.145
19,0.017,0.988,0.99,0.986,960,580,398.693,0.43,0.142
20,0.015,0.99,0.989,0.991,1000,600,400.895,0.433,0.14
