,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.002,0.002,0.001,0.003,0.0,0.0,0.0,43.095
1,0.168,0.067,0.27,0.038,0.0,0.104,0.0,20.845
2,0.024,0.389,0.414,0.384,0.0,0.052,0.0,10.484
3,0.047,0.034,0.047,0.091,0.0,0.032,0.0,12.043
4,0.024,0.014,0.041,0.023,0.0,0.037,0.0,8.719
5,0.015,0.017,0.048,0.064,0.0,0.041,0.001,26.427
6,0.018,0.016,0.035,0.014,0.0,0.036,0.001,14.418
7,0.011,0.01,0.03,0.011,0.0,0.033,0.001,19.541
8,0.035,0.011,0.037,0.019,0.0,0.034,0.001,16.12
9,0.007,0.013,0.032,0.017,0.0,0.024,0.001,15.109
10,0.019,0.012,0.027,0.008,0.0,0.029,0.001,17.79
11,0.037,0.023,0.051,0.014,0.0,0.02,0.001,20.232
12,0.028,0.012,0.023,0.008,0.0,0.023,0.001,27.714
13,0.021,0.01,0.019,0.011,0.0,0.015,0.001,16.03
14,0.021,0.01,0.015,0.016,0.0,0.015,0.001,12.683
15,0.012,0.009,0.012,0.007,0.0,0.016,0.001,17.969
16,0.022,0.015,0.017,0.02,0.0,0.015,0.001,7.209
17,0.012,0.01,0.019,0.006,0.0,0.014,0.001,8.483
18,0.012,0.001,0.01,0.009,0.0,0.015,0.001,13.699
19,0.015,0.007,0.015,0.003,0.0,0.013,0.001,14.153
20,0.021,0.008,0.008,0.011,0.0,0.013,0.001,30.709
21,0.015,0.01,0.015,0.018,0.0,0.009,0.001,14.264
22,0.016,0.007,0.009,0.009,0.0,0.01,0.001,12.643
23,0.018,0.011,0.012,0.01,0.0,0.013,0.001,15.402
24,0.013,0.007,0.008,0.01,0.0,0.014,0.002,17.459
25,0.015,0.005,0.012,0.004,0.0,0.013,0.002,19.261
26,0.009,0.008,0.012,0.009,0.0,0.016,0.002,23.781
27,0.007,0.007,0.017,0.01,0.0,0.014,0.002,11.249
28,0.01,0.006,0.015,0.017,0.0,0.016,0.002,10.479
29,0.005,0.004,0.013,0.012,0.0,0.017,0.003,19.199
30,0.01,0.008,0.01,0.01,0.0,0.014,0.002,23.406
31,0.004,0.002,0.002,0.003,0.0,0.0,0.0,21.784
