,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.019,0.012,0.027,0.008,0.0,0.0,23.756,0.029,0.001
1,0.022,0.012,0.03,0.011,0.0,0.0,22.868,0.029,0.001
2,0.023,0.009,0.02,0.011,0.0,0.0,18.296,0.034,0.001
3,0.011,0.004,0.006,0.004,0.0,0.0,20.652,0.024,0.001
4,0.012,0.005,0.006,0.009,0.0,0.0,24.518,0.019,0.001
5,0.003,0.002,0.005,0.003,0.0,0.0,12.803,0.014,0.001
6,0.003,0.002,0.004,0.001,0.0,0.0,25.891,0.01,0.001
7,0.004,0.004,0.008,0.002,0.0,0.0,10.868,0.01,0.001
8,0.003,0.001,0.002,0.003,0.0,0.0,14.75,0.015,0.001
9,0.002,0.002,0.006,0.008,0.0,0.0,12.072,0.013,0.001
10,0.001,0.002,0.004,0.005,0.0,0.0,23.264,0.015,0.001
11,0.003,0.002,0.001,0.004,0.0,0.0,14.366,0.014,0.001
12,0.003,0.001,0.004,0.004,0.0,0.0,4.99,0.013,0.001
13,0.003,0.001,0.001,0.001,0.0,0.0,15.383,0.012,0.001
14,0.003,0.002,0.003,0.004,0.0,0.0,18.288,0.012,0.001
15,0.004,0.003,0.005,0.003,0.0,0.0,21.361,0.011,0.001
16,0.001,0.003,0.007,0.003,0.0,0.0,5.6,0.012,0.001
17,0.003,0.001,0.002,0.001,0.0,0.0,18.799,0.012,0.002
18,0.003,0.001,0.001,0.002,0.0,0.0,13.378,0.011,0.002
19,0.002,0.001,0.005,0.005,0.0,0.0,15.036,0.011,0.002
20,0.003,0.002,0.005,0.003,0.0,0.0,25.331,0.01,0.002
