,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.11,0.955,0.946,0.963,0,0.186,0.186,1799.411
1,0.454,0.0,0.0,0.0,20,0.21,0.186,483.101
2,0.318,0.0,0.0,0.0,40,0.2,0.186,476.715
3,0.226,0.642,0.713,0.592,60,0.21,0.186,465.119
4,0.208,0.672,0.695,0.661,80,0.2,0.186,488.695
5,0.14,0.89,0.87,0.912,100,0.19,0.186,494.952
6,0.145,0.888,0.852,0.926,120,0.2,0.186,490.231
7,0.134,0.903,0.891,0.916,140,0.191,0.186,477.511
8,0.169,0.888,0.878,0.909,160,0.189,0.186,486.065
9,0.119,0.913,0.895,0.934,180,0.187,0.186,479.242
10,0.154,0.898,0.895,0.904,200,0.182,0.186,516.463
11,0.132,0.913,0.921,0.908,240,0.185,0.186,494.185
12,0.13,0.914,0.901,0.928,280,0.184,0.186,499.713
13,0.148,0.913,0.891,0.936,320,0.187,0.186,494.334
14,0.133,0.917,0.894,0.943,360,0.187,0.186,492.26
15,0.132,0.919,0.906,0.935,400,0.186,0.186,522.192
16,0.125,0.923,0.912,0.936,440,0.188,0.186,543.909
17,0.128,0.927,0.912,0.944,480,0.188,0.186,532.575
18,0.134,0.922,0.917,0.927,520,0.189,0.186,525.158
19,0.128,0.927,0.919,0.935,560,0.19,0.186,518.821
20,0.14,0.927,0.908,0.947,600,0.19,0.186,525.763
21,0.108,0.933,0.926,0.941,640,0.191,0.186,519.477
22,0.13,0.93,0.912,0.95,680,0.189,0.186,540.318
23,0.132,0.93,0.913,0.949,720,0.186,0.186,531.841
24,0.124,0.929,0.91,0.949,760,0.187,0.186,554.263
25,0.124,0.927,0.914,0.942,800,0.186,0.186,538.135
26,0.123,0.928,0.942,0.915,840,0.188,0.186,565.055
27,0.127,0.933,0.933,0.934,880,0.188,0.186,551.522
28,0.126,0.931,0.925,0.938,920,0.189,0.186,574.09
29,0.115,0.931,0.938,0.924,960,0.189,0.186,563.572
30,0.114,0.938,0.928,0.947,1000,0.19,0.186,581.315
31,0.105,0.956,0.951,0.961,17223,0.186,0.186,1819.07
