,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.154,0.898,0.895,0.904,200,200,428.375,0.182,0.186
1,0.131,0.912,0.891,0.937,240,220,501.19,0.232,0.186
2,0.105,0.929,0.923,0.935,280,240,505.292,0.261,0.185
3,0.112,0.929,0.922,0.937,320,260,501.949,0.295,0.184
4,0.117,0.934,0.926,0.943,360,280,501.009,0.315,0.183
5,0.097,0.937,0.938,0.937,400,300,507.643,0.33,0.183
6,0.107,0.934,0.938,0.93,440,320,506.74,0.341,0.182
7,0.099,0.941,0.938,0.944,480,340,505.286,0.357,0.181
8,0.098,0.942,0.931,0.953,520,360,508.973,0.365,0.181
9,0.095,0.943,0.948,0.938,560,380,517.326,0.37,0.18
10,0.191,0.755,0.753,0.756,600,400,522.574,0.383,0.179
11,0.097,0.944,0.93,0.958,636,418,516.476,0.391,0.178
12,0.105,0.939,0.95,0.929,676,438,511.876,0.394,0.178
13,0.101,0.943,0.941,0.947,716,458,518.252,0.403,0.177
14,0.104,0.943,0.942,0.945,756,478,530.121,0.408,0.176
15,0.098,0.946,0.939,0.953,796,498,541.023,0.414,0.175
16,0.101,0.944,0.941,0.947,836,518,531.828,0.417,0.174
17,0.099,0.943,0.945,0.941,876,538,518.503,0.42,0.174
18,0.105,0.942,0.938,0.946,916,558,532.789,0.423,0.173
19,0.1,0.942,0.938,0.947,956,578,543.36,0.424,0.172
20,0.102,0.945,0.942,0.948,996,598,538.41,0.426,0.171
