,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.005,0.002,0.006,0.004,0.0,0.0,0.0,140.521
1,0.039,0.0,0.0,0.0,0.0,0.0,0.0,48.026
2,0.107,0.043,0.054,0.112,0.0,0.0,0.0,41.309
3,0.015,0.01,0.049,0.055,0.0,0.0,0.0,28.84
4,0.014,0.008,0.026,0.02,0.0,0.0,0.0,34.914
5,0.011,0.013,0.03,0.022,0.0,0.0,0.0,46.732
6,0.031,0.011,0.031,0.032,0.0,0.0,0.0,40.684
7,0.004,0.013,0.028,0.032,0.0,0.0,0.0,37.933
8,0.009,0.003,0.024,0.023,0.0,0.0,0.0,33.683
9,0.018,0.01,0.042,0.028,0.0,0.0,0.0,29.035
10,0.011,0.005,0.013,0.015,0.0,0.0,0.0,45.266
11,0.009,0.008,0.018,0.016,0.0,0.0,0.0,40.912
12,0.023,0.006,0.016,0.016,0.0,0.0,0.0,44.761
13,0.005,0.001,0.023,0.022,0.0,0.0,0.0,35.737
14,0.01,0.004,0.009,0.015,0.0,0.0,0.0,35.553
15,0.012,0.008,0.009,0.019,0.0,0.0,0.0,47.478
16,0.008,0.002,0.013,0.012,0.0,0.0,0.0,37.534
17,0.009,0.006,0.009,0.017,0.0,0.0,0.0,45.329
18,0.013,0.006,0.01,0.011,0.0,0.0,0.0,37.71
19,0.021,0.007,0.017,0.02,0.0,0.0,0.0,41.095
20,0.007,0.005,0.012,0.013,0.0,0.0,0.0,38.12
21,0.014,0.004,0.009,0.007,0.0,0.0,0.0,42.294
22,0.007,0.003,0.008,0.009,0.0,0.0,0.0,28.718
23,0.005,0.004,0.012,0.013,0.0,0.0,0.0,42.065
24,0.009,0.003,0.011,0.009,0.0,0.0,0.0,44.644
25,0.017,0.005,0.012,0.008,0.0,0.0,0.0,40.04
26,0.018,0.004,0.004,0.009,0.0,0.0,0.0,33.62
27,0.015,0.006,0.004,0.014,0.0,0.0,0.0,47.734
28,0.007,0.003,0.005,0.006,0.0,0.0,0.0,41.753
29,0.012,0.006,0.012,0.004,0.0,0.0,0.0,42.992
30,0.012,0.006,0.01,0.018,0.0,0.0,0.0,48.298
