,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.048,0.017,0.043,0.042,0.0,17.776,0.025,0.0
1,0.013,0.009,0.025,0.019,0.0,17.778,0.027,0.0
2,0.015,0.01,0.029,0.036,0.0,36.051,0.013,0.0
3,0.015,0.007,0.02,0.019,0.0,22.171,0.03,0.001
4,0.014,0.012,0.018,0.035,0.0,32.526,0.035,0.001
5,0.01,0.004,0.01,0.015,0.0,28.213,0.032,0.001
6,0.005,0.004,0.012,0.014,0.0,34.789,0.028,0.001
7,0.006,0.002,0.009,0.013,0.0,21.15,0.02,0.001
8,0.011,0.006,0.01,0.016,0.0,27.511,0.016,0.0
9,0.004,0.002,0.004,0.008,0.0,15.891,0.014,0.0
10,0.002,0.002,0.006,0.004,0.0,31.862,0.015,0.001
11,0.006,0.018,0.043,0.011,0.0,26.968,0.012,0.0
12,0.006,0.001,0.007,0.007,0.0,20.991,0.013,0.001
13,0.009,0.004,0.01,0.009,0.0,36.314,0.01,0.0
14,0.009,0.003,0.009,0.009,0.0,21.243,0.007,0.0
15,0.007,0.004,0.011,0.009,0.0,37.374,0.011,0.001
16,0.008,0.002,0.012,0.008,0.0,34.578,0.017,0.001
17,0.007,0.004,0.005,0.01,0.0,17.416,0.015,0.001
18,0.013,0.003,0.008,0.013,0.0,27.899,0.016,0.001
19,0.004,0.003,0.006,0.007,0.0,38.381,0.017,0.001
20,0.003,0.003,0.007,0.005,0.0,22.634,0.017,0.001
