,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.048,0.017,0.043,0.042,0.0,0.0,10.544,0.025,0.0
1,0.026,0.012,0.046,0.038,0.0,0.0,19.177,0.023,0.0
2,0.011,0.004,0.016,0.01,0.0,0.0,13.836,0.028,0.0
3,0.018,0.006,0.02,0.029,0.0,0.0,15.649,0.023,0.0
4,0.021,0.008,0.014,0.021,0.0,0.0,19.099,0.021,0.0
5,0.021,0.008,0.012,0.022,0.0,0.0,22.14,0.012,0.0
6,0.01,0.004,0.017,0.02,0.0,0.0,22.747,0.012,0.0
7,0.008,0.006,0.015,0.016,0.0,0.0,23.938,0.011,0.0
8,0.009,0.004,0.02,0.014,0.0,0.0,12.904,0.013,0.0
9,0.008,0.005,0.003,0.01,0.0,0.0,10.485,0.014,0.0
10,0.196,0.422,0.421,0.423,0.0,0.0,13.222,0.011,0.0
11,0.004,0.004,0.004,0.01,8.944,4.472,10.077,0.011,0.0
12,0.007,0.006,0.008,0.015,8.944,4.472,12.588,0.013,0.001
13,0.006,0.006,0.011,0.022,8.944,4.472,14.775,0.01,0.0
14,0.007,0.004,0.004,0.005,8.944,4.472,12.335,0.012,0.001
15,0.004,0.0,0.005,0.005,8.944,4.472,15.919,0.014,0.001
16,0.004,0.003,0.009,0.008,8.944,4.472,17.278,0.013,0.001
17,0.014,0.004,0.006,0.008,8.944,4.472,14.676,0.012,0.001
18,0.012,0.003,0.007,0.005,8.944,4.472,22.261,0.012,0.001
19,0.008,0.008,0.017,0.005,8.944,4.472,24.583,0.011,0.001
20,0.009,0.006,0.009,0.01,8.944,4.472,10.422,0.008,0.001
