,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.14,0.95,0.962,0.938,0,0.243,0.243,255.235
1,0.61,0.0,0.0,0.0,20,0.267,0.241,225.343
2,0.584,0.0,0.0,0.0,40,0.183,0.251,239.784
3,0.39,0.0,0.0,0.0,60,0.194,0.254,236.862
4,0.201,0.925,0.939,0.914,80,0.212,0.253,240.5
5,0.275,0.88,0.913,0.852,100,0.223,0.252,250.125
6,0.139,0.94,0.931,0.951,120,0.239,0.245,242.011
7,0.126,0.938,0.95,0.926,140,0.245,0.241,241.456
8,0.168,0.915,0.896,0.938,160,0.25,0.236,246.407
9,0.1,0.932,0.937,0.926,180,0.256,0.227,246.946
10,0.183,0.905,0.876,0.938,200,0.265,0.207,250.068
11,0.107,0.95,0.951,0.951,240,0.26,0.193,250.845
12,0.108,0.949,0.962,0.938,280,0.257,0.146,254.725
13,0.115,0.949,0.962,0.938,320,0.243,0.333,252.53
