,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.14,0.95,0.962,0.938,0.243,0.243,0,251.116
1,0.565,0.0,0.0,0.0,0.4,0.233,20,221.096
2,0.406,0.425,0.901,0.358,0.375,0.224,40,232.227
3,0.217,0.866,0.943,0.802,0.367,0.215,60,241.288
4,0.164,0.883,0.931,0.84,0.4,0.191,80,243.058
5,0.101,0.941,0.899,0.988,0.41,0.167,100,242.656
6,0.102,0.931,0.952,0.914,0.425,0.134,120,241.241
7,0.099,0.951,0.951,0.951,0.436,0.094,140,246.375
8,0.256,0.906,0.866,0.951,0.444,0.043,160,244.288
9,0.119,0.951,0.951,0.951,0.428,0.007,180,251.605
10,0.164,0.927,0.917,0.938,0.385,0.008,200,252.587
11,0.118,0.95,0.962,0.938,0.325,0.0,240,254.832
