,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.048,0.291,0.262,0.273,0.0,0.0,14.206,0.019,0.001
1,0.119,0.301,0.271,0.329,0.0,0.0,4.663,0.038,0.002
2,0.123,0.32,0.207,0.307,0.0,0.0,6.683,0.047,0.002
3,0.035,0.035,0.103,0.04,0.0,0.0,7.765,0.049,0.003
4,0.051,0.053,0.037,0.086,0.0,0.0,11.441,0.041,0.003
5,0.045,0.049,0.062,0.1,0.0,0.0,10.149,0.036,0.003
6,0.032,0.019,0.058,0.06,0.0,0.0,3.714,0.03,0.003
7,0.026,0.025,0.071,0.071,0.0,0.0,13.734,0.036,0.003
8,0.019,0.025,0.042,0.036,0.0,0.0,7.56,0.035,0.003
9,0.019,0.048,0.107,0.037,0.0,0.0,13.524,0.032,0.003
10,0.023,0.018,0.038,0.043,0.0,0.0,7.031,0.033,0.004
11,0.01,0.009,0.04,0.039,0.0,0.0,9.344,0.032,0.004
12,0.023,0.018,0.057,0.023,0.0,0.0,15.142,0.028,0.004
13,0.017,0.011,0.033,0.039,0.0,0.0,6.518,0.031,0.004
14,0.033,0.023,0.033,0.041,0.0,0.0,6.842,0.027,0.004
15,0.035,0.025,0.023,0.036,0.0,0.0,12.741,0.028,0.005
16,0.017,0.019,0.02,0.022,0.0,0.0,9.279,0.026,0.005
17,0.024,0.019,0.019,0.037,0.0,0.0,12.699,0.024,0.004
18,0.024,0.016,0.013,0.023,0.0,0.0,11.968,0.022,0.004
19,0.016,0.013,0.025,0.007,0.0,0.0,9.092,0.021,0.004
20,0.007,0.012,0.02,0.017,0.0,0.0,7.986,0.02,0.004
