,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.31141397356987,0.0,0.0,0.0,0.22,50.0,122.13487935066223
75,0.3325880467891693,0.4094488188976378,0.2222222222222222,0.28808864265927975,0.24,75.0,110.98058724403381
100,0.26709744334220886,0.4154929577464789,0.5042735042735043,0.4555984555984556,0.22,100.0,116.52476000785828
120,0.34588631987571716,0.32558139534883723,0.11965811965811966,0.175,0.20833333333333334,120.0,119.74396467208862
140,0.34012094140052795,0.3347457627118644,0.33760683760683763,0.3361702127659575,0.18571428571428572,140.0,122.08040189743042
160,0.3274012506008148,0.5189873417721519,0.3504273504273504,0.41836734693877553,0.2,160.0,127.05197978019714
180,0.4016423225402832,0.3877551020408163,0.3247863247863248,0.3534883720930233,0.21666666666666667,180.0,127.86313581466675
200,0.34380418062210083,0.4232558139534884,0.3888888888888889,0.4053452115812918,0.245,200.0,132.27909684181213
250,0.3338225781917572,0.6162162162162163,0.48717948717948717,0.5441527446300717,0.288,250.0,136.2202844619751
300,0.38040831685066223,0.48985507246376814,0.7222222222222222,0.5837651122625216,0.30666666666666664,300.0,138.9059443473816
400,0.2809315323829651,0.5945945945945946,0.5641025641025641,0.5789473684210528,0.3325,400.0,145.22896337509155
500,0.31688621640205383,0.6683417085427136,0.5683760683760684,0.6143187066974597,0.358,500.0,140.98996996879578
600,0.30974873900413513,0.6519607843137255,0.5683760683760684,0.6073059360730593,0.38,600.0,149.97245860099792
700,0.319385826587677,0.6605504587155964,0.6153846153846154,0.6371681415929203,0.38857142857142857,700.0,156.22176861763
800,0.28799182176589966,0.6728110599078341,0.6239316239316239,0.647450110864745,0.36625,800.0,170.34339046478271
900,0.33910053968429565,0.6728110599078341,0.6239316239316239,0.647450110864745,0.34444444444444444,900.0,161.57512259483337
1000,0.31171518564224243,0.6548672566371682,0.6324786324786325,0.6434782608695652,0.33,1000.0,175.8693606853485
1100,0.3148648142814636,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.3109090909090909,1100.0,171.72966861724854
1200,0.30597034096717834,0.6994818652849741,0.5769230769230769,0.6323185011709601,0.30333333333333334,1200.0,193.23563313484192
1300,0.3056965470314026,0.7208121827411168,0.6068376068376068,0.6589327146171694,0.2946153846153846,1300.0,195.62281036376953
1400,0.28717997670173645,0.7061611374407583,0.6367521367521367,0.6696629213483146,0.2814285714285714,1400.0,192.47816801071167
1500,0.2651073932647705,0.7177033492822966,0.6410256410256411,0.6772009029345373,0.2713333333333333,1500.0,210.4689211845398
2000,0.2739578187465668,0.7157360406091371,0.6025641025641025,0.654292343387471,0.241,2000.0,224.94288420677185
