,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.16506925225257874,0.838150289017341,0.9797297297297297,0.9034267912772586,0.48,50.0,197.5490016937256
75,0.08050059527158737,0.8938775510204081,0.9864864864864865,0.9379014989293362,0.48,75.0,208.44514346122742
100,0.08524512499570847,0.8661417322834646,0.990990990990991,0.9243697478991598,0.46,100.0,211.95205569267273
120,0.08274015039205551,0.9004149377593361,0.9774774774774775,0.9373650107991361,0.4666666666666667,120.0,217.2033679485321
140,0.06955225020647049,0.94,0.9527027027027027,0.9463087248322148,0.45714285714285713,140.0,205.30648922920227
160,0.054439760744571686,0.918918918918919,0.9954954954954955,0.9556756756756757,0.46875,160.0,233.07182145118713
180,0.035766057670116425,0.9606126914660832,0.9887387387387387,0.974472807991121,0.4777777777777778,180.0,229.3950490951538
200,0.04058035835623741,0.96875,0.9774774774774775,0.9730941704035874,0.49,200.0,220.69774723052979
250,0.04370078444480896,0.9585152838427947,0.9887387387387387,0.9733924611973392,0.48,250.0,224.51883673667908
300,0.04605090990662575,0.9625550660792952,0.9842342342342343,0.9732739420935412,0.4766666666666667,300.0,235.75136709213257
400,0.03450049087405205,0.9776785714285714,0.9864864864864865,0.9820627802690582,0.465,400.0,250.8348536491394
500,0.017491159960627556,0.9954441913439636,0.9842342342342343,0.9898074745186863,0.46,500.0,239.0264081954956
600,0.020156733691692352,0.9712389380530974,0.9887387387387387,0.9799107142857142,0.4633333333333333,600.0,249.17344188690186
700,0.022924792021512985,0.9713024282560706,0.990990990990991,0.9810479375696767,0.46285714285714286,700.0,266.41259932518005
800,0.017104633152484894,0.9734513274336283,0.990990990990991,0.9821428571428571,0.46375,800.0,255.77229714393616
900,0.02006719447672367,0.9931972789115646,0.9864864864864865,0.9898305084745763,0.4622222222222222,900.0,272.3291964530945
1000,0.021499572321772575,0.9606126914660832,0.9887387387387387,0.974472807991121,0.459,1000.0,302.0097334384918
1100,0.021311836317181587,0.9821428571428571,0.990990990990991,0.9865470852017937,0.45545454545454545,1100.0,292.86468863487244
1200,0.02769431285560131,0.9776286353467561,0.9842342342342343,0.9809203142536477,0.45666666666666667,1200.0,318.7256906032562
1300,0.014746956527233124,0.9931818181818182,0.9842342342342343,0.9886877828054299,0.4546153846153846,1300.0,311.5942678451538
1400,0.009878492914140224,0.9909502262443439,0.9864864864864865,0.9887133182844244,0.455,1400.0,309.7547233104706
1500,0.016505107283592224,0.9821029082774049,0.9887387387387387,0.9854096520763187,0.4553333333333333,1500.0,343.73628425598145
2000,0.013038339093327522,0.9954233409610984,0.9797297297297297,0.9875141884222476,0.45,2000.0,383.5716984272003
