,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.1430661678314209,0.8123003194888179,0.9504672897196261,0.875968992248062,0.4,50.0,338.0399899482727
75,0.12491921335458755,0.9170081967213115,0.8364485981308412,0.8748778103616813,0.41333333333333333,75.0,326.9841570854187
100,0.12182074040174484,0.8694516971279374,0.9336448598130841,0.900405588102749,0.46,100.0,315.47143936157227
120,0.10990982502698898,0.9052631578947369,0.8841121495327103,0.8945626477541371,0.475,120.0,360.2591633796692
140,0.12678180634975433,0.8776041666666666,0.9448598130841122,0.90999099909991,0.4785714285714286,140.0,345.386269569397
160,0.1322367638349533,0.8622147083685545,0.9532710280373832,0.9054593874833554,0.48125,160.0,332.91405868530273
180,0.15220607817173004,0.9166666666666666,0.9046728971962616,0.9106302916274693,0.4722222222222222,180.0,379.0005798339844
200,0.11564690619707108,0.894829097283085,0.9542056074766355,0.9235639981908639,0.485,200.0,361.2809624671936
250,0.15162873268127441,0.9083409715857012,0.9261682242990654,0.9171679777880611,0.496,250.0,357.92017579078674
300,0.1452518254518509,0.8747870528109029,0.9598130841121495,0.9153297682709446,0.51,300.0,358.3655309677124
400,0.14954718947410583,0.8604240282685512,0.9102803738317757,0.8846503178928247,0.5075,400.0,396.7052481174469
500,0.1316411793231964,0.9212007504690432,0.9177570093457944,0.9194756554307116,0.494,500.0,397.4864466190338
600,0.11662844568490982,0.9197812215132178,0.9429906542056075,0.9312413474850022,0.49,600.0,390.3101816177368
700,0.12696883082389832,0.9353327085285849,0.9327102803738317,0.9340196537201684,0.49142857142857144,700.0,374.7475588321686
800,0.12321837991476059,0.9235023041474655,0.9364485981308411,0.9299303944315545,0.4875,800.0,410.8013770580292
900,0.10448778420686722,0.9386792452830188,0.9299065420560748,0.9342723004694835,0.49,900.0,410.0424633026123
1000,0.10486704111099243,0.9357798165137615,0.9532710280373832,0.9444444444444445,0.491,1000.0,441.192045211792
1100,0.14088097214698792,0.9262371615312792,0.9271028037383178,0.9266697804764129,0.4863636363636364,1100.0,436.72388553619385
1200,0.12266182899475098,0.9387947269303202,0.9317757009345794,0.9352720450281427,0.49083333333333334,1200.0,450.067182302475
1300,0.13002410531044006,0.9348230912476723,0.9383177570093458,0.9365671641791044,0.4930769230769231,1300.0,453.7772755622864
1400,0.120270274579525,0.934622467771639,0.9485981308411215,0.9415584415584416,0.495,1400.0,465.5225329399109
1500,0.11657387763261795,0.9389671361502347,0.9345794392523364,0.936768149882904,0.49666666666666665,1500.0,471.56786704063416
2000,0.10668503493070602,0.9395910780669146,0.9448598130841122,0.9422180801491147,0.491,2000.0,467.0016691684723
