,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.1983633190393448,0.9064261555806088,0.7514018691588785,0.8216658150229945,50.0,0.18,327.4951956272125
75,0.2405463308095932,0.8796680497925311,0.7925233644859813,0.8338249754178957,75.0,0.18666666666666668,315.9606738090515
100,0.1985238790512085,0.8363324764353042,0.9121495327102803,0.8725972284309343,100.0,0.16,361.3246545791626
120,0.1614297479391098,0.8777985074626866,0.8794392523364486,0.8786181139122317,120.0,0.16666666666666666,348.7172336578369
140,0.13036033511161804,0.8581436077057794,0.9158878504672897,0.8860759493670886,140.0,0.17142857142857143,336.7399845123291
160,0.19550766050815582,0.8944820909970959,0.8635514018691589,0.8787446504992867,160.0,0.1875,331.51155281066895
180,0.1576448529958725,0.8555555555555555,0.9355140186915888,0.89375,180.0,0.18333333333333332,365.1778013706207
200,0.1721094250679016,0.8320126782884311,0.9813084112149533,0.9005145797598627,200.0,0.18,359.40281796455383
250,0.2222009152173996,0.8703703703703703,0.922429906542056,0.895644283121597,250.0,0.192,356.30845618247986
300,0.16596564650535583,0.9269005847953217,0.888785046728972,0.9074427480916031,300.0,0.17333333333333334,395.13777565956116
400,0.10442519187927246,0.9318181818181818,0.9196261682242991,0.9256820319849483,400.0,0.1775,386.68579745292664
500,0.18391293287277222,0.9034926470588235,0.9186915887850468,0.9110287303058388,500.0,0.172,379.39862513542175
600,0.15013007819652557,0.882960413080895,0.9588785046728971,0.9193548387096774,600.0,0.19166666666666668,389.9137592315674
700,0.13419629633426666,0.9317118802619271,0.930841121495327,0.9312762973352035,700.0,0.19,361.42492938041687
800,0.14021947979927063,0.9338374291115312,0.9233644859813084,0.9285714285714286,800.0,0.1975,405.0014626979828
900,0.11888034641742706,0.9213893967093236,0.9420560747663551,0.9316081330868762,900.0,0.18777777777777777,406.5864863395691
1000,0.12654231488704681,0.9572989076464746,0.9009345794392524,0.928261916225325,1000.0,0.183,423.09486389160156
1100,0.11842786520719528,0.9464980544747081,0.9093457943925234,0.9275500476644423,1100.0,0.18545454545454546,438.9515881538391
1200,0.12897127866744995,0.9529872673849168,0.9093457943925234,0.9306551889048303,1200.0,0.18583333333333332,450.99290323257446
1300,0.1337619125843048,0.9463087248322147,0.922429906542056,0.9342167534311405,1300.0,0.18615384615384614,449.09414935112
1400,0.1326369047164917,0.9438095238095238,0.9261682242990654,0.9349056603773584,1400.0,0.18714285714285714,469.80454683303833
1500,0.09091390669345856,0.9406858202038925,0.9485981308411215,0.9446254071661238,1500.0,0.18933333333333333,467.14457750320435
2000,0.11541516333818436,0.9203619909502262,0.9504672897196261,0.9351724137931035,2000.0,0.187,459.7173533439636
17223,0.12263064086437225,0.9423604757548033,0.9626168224299065,0.9523809523809523,17223.0,0.18620449399059397,1417.243490934372
