,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.4158920645713806,0.0,0.0,0.0,0.42,50.0,299.4050598144531
75,0.3624674379825592,0.327027027027027,0.6269430051813472,0.42984014209591476,0.44,75.0,285.32404112815857
100,0.2773243188858032,0.3879003558718861,0.5647668393782384,0.459915611814346,0.46,100.0,272.63449144363403
120,0.3517305254936218,0.3993055555555556,0.5958549222797928,0.4781704781704782,0.475,120.0,272.41200733184814
140,0.23041698336601257,0.5955056179775281,0.5492227979274611,0.5714285714285714,0.45714285714285713,140.0,265.58859395980835
160,0.3674866855144501,0.45517241379310347,0.6839378238341969,0.546583850931677,0.45625,160.0,260.82570910453796
180,0.24100255966186523,0.6473684210526316,0.6373056994818653,0.6422976501305484,0.45555555555555555,180.0,268.18482661247253
200,0.331703245639801,0.4826086956521739,0.5751295336787565,0.5248226950354611,0.455,200.0,272.3702828884125
250,0.39334115386009216,0.46647230320699706,0.8290155440414507,0.5970149253731343,0.468,250.0,277.2554953098297
300,0.31890925765037537,0.5803921568627451,0.7668393782383419,0.6607142857142857,0.47,300.0,293.2527551651001
400,0.27400973439216614,0.631336405529954,0.7098445595854922,0.6682926829268292,0.4875,400.0,291.4347915649414
500,0.23216107487678528,0.6468401486988847,0.9015544041450777,0.7532467532467533,0.508,500.0,289.1115233898163
600,0.2459651231765747,0.6161971830985915,0.9067357512953368,0.7337526205450733,0.5183333333333333,600.0,307.13524556159973
700,0.18967393040657043,0.6865079365079365,0.8963730569948186,0.7775280898876404,0.5185714285714286,700.0,302.05908370018005
800,0.28557249903678894,0.6014234875444839,0.8756476683937824,0.7130801687763713,0.51875,800.0,303.0416328907013
900,0.16271653771400452,0.7681818181818182,0.8756476683937824,0.818401937046005,0.47,900.0,298.4564094543457
1000,0.2137080878019333,0.7088607594936709,0.8704663212435233,0.7813953488372093,0.439,1000.0,307.14835691452026
1100,0.1945674866437912,0.7053941908713693,0.8808290155440415,0.7834101382488479,0.4081818181818182,1100.0,339.8976423740387
1200,0.1457192301750183,0.786046511627907,0.8756476683937824,0.8284313725490197,0.38166666666666665,1200.0,300.277152299881
1300,0.18748216331005096,0.7350427350427351,0.8911917098445595,0.8056206088992973,0.35846153846153844,1300.0,346.24814891815186
1400,0.17624340951442719,0.762114537444934,0.8963730569948186,0.8238095238095238,0.34,1400.0,328.17318391799927
1500,0.15313053131103516,0.7853881278538812,0.8911917098445595,0.8349514563106796,0.32466666666666666,1500.0,346.00064754486084
2000,0.13003040850162506,0.8736263736263736,0.8238341968911918,0.8480000000000001,0.2545,2000.0,364.50063467025757
