,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.30892255902290344,0.0,0.0,0.0,50.0,0.14,282.07215189933777
75,0.44053930044174194,0.0,0.0,0.0,75.0,0.10666666666666667,278.9993407726288
100,0.2712686061859131,0.0,0.0,0.0,100.0,0.1,271.4318861961365
120,0.2993817627429962,0.0,0.0,0.0,120.0,0.09166666666666666,269.4524154663086
140,0.4940614402294159,0.273972602739726,0.10362694300518134,0.15037593984962405,140.0,0.09285714285714286,267.518780708313
160,0.48589786887168884,0.4666666666666667,0.03626943005181347,0.06730769230769229,160.0,0.09375,267.6290888786316
180,0.305075466632843,0.3933333333333333,0.30569948186528495,0.3440233236151603,180.0,0.1,258.8886208534241
200,0.2710350453853607,0.5327510917030568,0.6321243523316062,0.5781990521327014,200.0,0.115,271.1161422729492
250,0.3102068305015564,0.6028368794326241,0.44041450777202074,0.5089820359281436,250.0,0.116,293.3106780052185
300,0.2934436798095703,0.5304659498207885,0.7668393782383419,0.6271186440677966,300.0,0.12,281.85880494117737
400,0.3223634362220764,0.5572916666666666,0.5544041450777202,0.5558441558441557,400.0,0.115,300.7313256263733
500,0.231268510222435,0.6322869955156951,0.7305699481865285,0.6778846153846154,500.0,0.114,298.8660640716553
600,0.2937360405921936,0.6577540106951871,0.6373056994818653,0.6473684210526316,600.0,0.10833333333333334,306.9604458808899
700,0.24724441766738892,0.7213930348258707,0.7512953367875648,0.7360406091370559,700.0,0.10571428571428572,294.7954077720642
800,0.2376827895641327,0.7319587628865979,0.7357512953367875,0.7338501291989663,800.0,0.1025,308.39639711380005
900,0.22217892110347748,0.7783783783783784,0.7461139896373057,0.761904761904762,900.0,0.09444444444444444,301.17646646499634
1000,0.18887725472450256,0.7718446601941747,0.8238341968911918,0.7969924812030076,1000.0,0.093,317.78156065940857
1100,0.18637162446975708,0.8370786516853933,0.772020725388601,0.8032345013477089,1100.0,0.09272727272727273,345.5413031578064
1200,0.22074267268180847,0.7104072398190046,0.8134715025906736,0.7584541062801933,1200.0,0.0925,326.2897171974182
1300,0.3087538778781891,0.0,0.0,0.0,1300.0,0.09615384615384616,354.40959000587463
1400,0.15159021317958832,0.8324324324324325,0.7979274611398963,0.8148148148148148,1400.0,0.09428571428571429,334.095587015152
1500,0.19024506211280823,0.8272251308900523,0.8186528497409327,0.8229166666666667,1500.0,0.09733333333333333,357.2023720741272
2000,0.16039490699768066,0.8167539267015707,0.8082901554404145,0.8125,2000.0,0.097,369.638738155365
6144,0.13959312438964844,0.8736842105263158,0.8601036269430051,0.8668407310704961,6144.0,0.09375,611.3615839481354
