,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
50,0.3452046811580658,0.0,0.0,0.0,0.18,50.0,301.44286942481995
75,0.32630279660224915,0.0,0.0,0.0,0.17333333333333334,75.0,304.62339425086975
100,0.3523544371128082,0.0,0.0,0.0,0.19,100.0,288.636470079422
120,0.27559101581573486,0.6145833333333334,0.28640776699029125,0.39072847682119205,0.225,120.0,323.9353439807892
140,0.5428805351257324,0.17027027027027028,0.3058252427184466,0.21874999999999997,0.2857142857142857,140.0,326.7314009666443
160,0.23437969386577606,0.6428571428571429,0.5242718446601942,0.5775401069518716,0.31875,160.0,310.515065908432
180,0.178310826420784,0.8128654970760234,0.6747572815533981,0.7374005305039788,0.32222222222222224,180.0,302.5100636482239
200,0.2654646635055542,0.6163265306122448,0.7330097087378641,0.6696230598669624,0.34,200.0,310.0046672821045
250,0.15482459962368011,0.7688888888888888,0.8398058252427184,0.802784222737819,0.368,250.0,327.43266701698303
300,0.14254464209079742,0.841025641025641,0.7961165048543689,0.8179551122194514,0.38666666666666666,300.0,339.0487926006317
400,0.1786595731973648,0.771551724137931,0.8689320388349514,0.817351598173516,0.41,400.0,347.48605513572693
500,0.15883365273475647,0.848780487804878,0.8446601941747572,0.8467153284671532,0.426,500.0,343.56329798698425
600,0.18344463407993317,0.7763713080168776,0.8932038834951457,0.8306997742663658,0.42833333333333334,600.0,348.0872972011566
700,0.15384621918201447,0.8387096774193549,0.883495145631068,0.8605200945626478,0.41,700.0,348.0674350261688
800,0.16566993296146393,0.8333333333333334,0.8737864077669902,0.8530805687203792,0.37625,800.0,364.0760974884033
900,0.1773768961429596,0.8053097345132744,0.883495145631068,0.8425925925925926,0.3511111111111111,900.0,381.2159764766693
1000,0.1665935218334198,0.8543689320388349,0.8543689320388349,0.8543689320388349,0.339,1000.0,397.5127911567688
1100,0.13826106488704681,0.8743718592964824,0.8446601941747572,0.8592592592592592,0.31727272727272726,1100.0,403.0617914199829
1200,0.13137058913707733,0.8726415094339622,0.8980582524271845,0.8851674641148326,0.30416666666666664,1200.0,395.65543723106384
1300,0.15684033930301666,0.8676470588235294,0.8592233009708737,0.8634146341463416,0.30153846153846153,1300.0,402.84803771972656
1400,0.12460611015558243,0.8823529411764706,0.8737864077669902,0.8780487804878048,0.2892857142857143,1400.0,412.18764638900757
1500,0.13403485715389252,0.8762376237623762,0.8592233009708737,0.8676470588235294,0.278,1500.0,407.0734031200409
2000,0.1238832101225853,0.9081632653061225,0.8640776699029126,0.8855721393034826,0.2355,2000.0,462.94965648651123
