,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.3404536843299866,0.0,0.0,0.0,50.0,0.06,308.5682089328766
75,0.4110661745071411,0.0,0.0,0.0,75.0,0.06666666666666667,291.0961060523987
100,0.5562756657600403,0.23809523809523808,0.04854368932038835,0.08064516129032259,100.0,0.08,305.32336044311523
120,0.6121570467948914,0.1774193548387097,0.05339805825242718,0.08208955223880597,120.0,0.08333333333333333,329.27588748931885
140,0.546666145324707,0.20253164556962025,0.07766990291262135,0.11228070175438597,140.0,0.09285714285714286,314.9186496734619
160,0.6678985357284546,0.23404255319148937,0.05339805825242718,0.08695652173913043,160.0,0.09375,311.94008207321167
180,0.4627462923526764,0.0,0.0,0.0,180.0,0.08888888888888889,307.1790907382965
200,0.6480404138565063,0.4583333333333333,0.05339805825242718,0.09565217391304347,200.0,0.085,330.0123553276062
250,0.3551015555858612,0.0,0.0,0.0,250.0,0.072,341.8395462036133
300,0.30566737055778503,0.7222222222222222,0.3155339805825243,0.4391891891891892,300.0,0.07,336.47827792167664
400,0.5067199468612671,0.7222222222222222,0.18932038834951456,0.3,400.0,0.08,348.8963599205017
500,0.3385487496852875,0.8045977011494253,0.33980582524271846,0.47781569965870313,500.0,0.084,352.23474645614624
600,0.2239203304052353,0.8888888888888888,0.5825242718446602,0.7038123167155425,600.0,0.08666666666666667,351.50900745391846
700,0.195504292845726,0.8571428571428571,0.6699029126213593,0.7520435967302452,700.0,0.08285714285714285,364.22558760643005
800,0.38412004709243774,0.9223300970873787,0.46116504854368934,0.6148867313915858,800.0,0.08875,373.5316331386566
900,0.19727224111557007,0.9395973154362416,0.6796116504854369,0.7887323943661971,900.0,0.09111111111111111,395.5386095046997
1000,0.16486413776874542,0.8888888888888888,0.7766990291262136,0.8290155440414507,1000.0,0.094,371.0510821342468
1100,0.15730208158493042,0.9117647058823529,0.7524271844660194,0.8244680851063829,1100.0,0.09272727272727273,402.38640689849854
1200,0.12612566351890564,0.907608695652174,0.8106796116504854,0.8564102564102564,1200.0,0.09416666666666666,417.7218990325928
1300,0.14902083575725555,0.8232323232323232,0.7912621359223301,0.8069306930693069,1300.0,0.09461538461538462,407.4112710952759
1400,0.14541032910346985,0.8431372549019608,0.8349514563106796,0.8390243902439024,1400.0,0.09642857142857143,436.793986082077
1500,0.16669252514839172,0.9166666666666666,0.7475728155339806,0.8235294117647058,1500.0,0.09733333333333333,423.9909517765045
2000,0.1254524290561676,0.893048128342246,0.8106796116504854,0.8498727735368957,2000.0,0.098,477.82289838790894
5743,0.12149067223072052,0.9095477386934674,0.8786407766990292,0.8938271604938272,5743.0,0.10726101340762667,761.8698470592499
