,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.242,0.727,0.766,0.692,0,0.102,0.102,524.684
1,0.381,0.0,0.0,0.0,20,0.13,0.102,166.396
2,0.387,0.0,0.0,0.0,40,0.12,0.102,175.549
3,0.321,0.0,0.0,0.0,60,0.103,0.102,186.272
4,0.327,0.053,0.106,0.035,80,0.105,0.102,175.431
5,0.328,0.085,0.097,0.075,100,0.104,0.102,187.471
6,0.337,0.176,0.276,0.145,120,0.1,0.102,194.176
7,0.353,0.395,0.522,0.356,140,0.097,0.102,187.08
8,0.34,0.178,0.298,0.136,160,0.094,0.102,195.779
9,0.404,0.385,0.521,0.371,180,0.092,0.102,186.166
10,0.4,0.208,0.327,0.194,200,0.091,0.102,188.461
11,0.395,0.388,0.487,0.346,240,0.092,0.102,202.462
12,0.452,0.428,0.53,0.395,280,0.095,0.102,193.935
13,0.4,0.422,0.526,0.373,320,0.096,0.102,200.367
14,0.38,0.464,0.5,0.449,360,0.094,0.102,201.018
15,0.425,0.448,0.528,0.393,400,0.094,0.102,205.538
16,0.37,0.498,0.604,0.432,440,0.094,0.102,206.988
17,0.357,0.513,0.597,0.458,480,0.096,0.102,211.943
18,0.412,0.391,0.495,0.326,520,0.094,0.102,213.014
19,0.388,0.487,0.535,0.452,560,0.094,0.102,213.57
20,0.398,0.525,0.561,0.498,600,0.094,0.102,220.498
21,0.375,0.485,0.555,0.443,640,0.094,0.103,222.624
22,0.366,0.562,0.613,0.52,680,0.094,0.103,220.699
23,0.398,0.501,0.572,0.459,720,0.096,0.102,231.289
24,0.392,0.544,0.62,0.491,760,0.096,0.102,234.122
25,0.395,0.577,0.599,0.557,800,0.097,0.102,227.351
26,0.376,0.484,0.587,0.42,840,0.097,0.102,230.392
27,0.4,0.563,0.652,0.5,880,0.098,0.102,240.315
28,0.386,0.54,0.576,0.515,920,0.099,0.102,243.317
29,0.385,0.45,0.542,0.399,960,0.098,0.102,232.992
30,0.367,0.59,0.629,0.56,1000,0.099,0.102,254.367
31,0.252,0.713,0.773,0.662,6874,0.102,0.102,562.486
