,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.4,0.208,0.327,0.194,200,155.25,0.091,0.102
1,0.352,0.482,0.551,0.445,236,169.59,0.15,0.1
2,0.355,0.522,0.587,0.484,276,169.641,0.182,0.098
3,0.353,0.553,0.603,0.527,316,176.483,0.204,0.097
4,0.349,0.555,0.606,0.526,356,174.601,0.223,0.095
5,0.34,0.576,0.672,0.507,396,176.914,0.245,0.093
6,0.303,0.585,0.65,0.545,436,175.184,0.265,0.091
7,0.318,0.618,0.717,0.544,476,179.515,0.28,0.088
8,0.275,0.624,0.705,0.561,516,185.765,0.295,0.086
9,0.269,0.615,0.675,0.568,556,182.707,0.304,0.084
10,0.255,0.621,0.666,0.586,596,185.536,0.309,0.082
11,0.269,0.634,0.695,0.588,636,191.919,0.316,0.08
12,0.28,0.64,0.749,0.563,676,205.066,0.322,0.078
13,0.247,0.651,0.696,0.618,716,203.605,0.33,0.075
14,0.258,0.644,0.724,0.583,756,203.281,0.332,0.073
15,0.249,0.673,0.727,0.627,796,197.531,0.337,0.071
16,0.256,0.668,0.727,0.619,836,197.851,0.338,0.069
17,0.305,0.542,0.605,0.491,876,200.835,0.342,0.067
18,0.289,0.595,0.644,0.554,912,199.102,0.347,0.064
19,0.253,0.666,0.746,0.603,952,203.814,0.349,0.062
20,0.238,0.677,0.747,0.621,992,208.613,0.357,0.059
