,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.122,0.164,0.211,0.202,0.0,10.181,0.014,0.0
1,0.054,0.023,0.086,0.076,8.944,14.994,0.009,0.0
2,0.029,0.027,0.08,0.08,8.944,17.001,0.017,0.001
3,0.046,0.03,0.071,0.096,8.944,19.765,0.024,0.001
4,0.021,0.022,0.095,0.068,8.944,21.03,0.027,0.002
5,0.012,0.023,0.023,0.048,8.944,16.77,0.019,0.001
6,0.067,0.039,0.106,0.066,8.944,8.073,0.024,0.002
7,0.044,0.019,0.031,0.023,8.944,10.053,0.026,0.002
8,0.024,0.039,0.036,0.044,8.944,13.859,0.022,0.002
9,0.033,0.034,0.041,0.048,8.944,10.727,0.017,0.002
10,0.053,0.027,0.063,0.047,8.944,12.305,0.012,0.001
11,0.027,0.016,0.048,0.055,8.944,19.9,0.013,0.001
12,0.038,0.022,0.045,0.051,8.944,23.719,0.019,0.002
13,0.036,0.025,0.057,0.053,8.944,22.132,0.019,0.002
14,0.009,0.025,0.039,0.043,8.944,41.308,0.021,0.003
15,0.031,0.016,0.02,0.022,8.944,15.986,0.02,0.003
16,0.018,0.014,0.044,0.011,8.944,18.755,0.018,0.003
17,0.11,0.303,0.34,0.274,8.944,20.8,0.017,0.003
18,0.103,0.154,0.173,0.138,10.954,19.965,0.015,0.002
19,0.039,0.017,0.019,0.036,10.954,15.506,0.013,0.002
20,0.035,0.024,0.039,0.031,10.954,21.314,0.013,0.002
