,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.011,0.99,0.992,0.988,0,0.18,0.18,885.517
1,0.447,0.03,0.121,0.017,20,0.17,0.18,331.208
2,0.16,0.687,0.74,0.65,40,0.215,0.179,338.659
3,0.135,0.892,0.879,0.913,60,0.203,0.179,332.91
4,0.109,0.902,0.847,0.967,80,0.193,0.179,334.806
5,0.095,0.914,0.911,0.923,100,0.182,0.18,331.722
6,0.071,0.934,0.901,0.97,120,0.183,0.18,342.07
7,0.058,0.954,0.945,0.963,140,0.197,0.179,340.162
8,0.099,0.938,0.912,0.967,160,0.194,0.179,353.4
9,0.09,0.944,0.922,0.968,180,0.196,0.179,347.283
10,0.077,0.946,0.919,0.976,200,0.194,0.179,352.09
11,0.095,0.941,0.911,0.974,240,0.188,0.179,354.144
12,0.087,0.948,0.917,0.982,280,0.184,0.179,358.196
13,0.063,0.962,0.958,0.967,320,0.184,0.179,362.975
14,0.061,0.965,0.961,0.969,360,0.182,0.179,357.373
15,0.065,0.965,0.964,0.967,400,0.178,0.18,368.062
16,0.056,0.967,0.974,0.961,440,0.181,0.18,367.575
17,0.047,0.972,0.971,0.972,480,0.183,0.179,372.98
18,0.06,0.964,0.956,0.972,520,0.183,0.179,388.35
19,0.044,0.978,0.984,0.971,560,0.186,0.179,386.546
20,0.051,0.972,0.974,0.969,600,0.186,0.179,392.579
21,0.05,0.97,0.975,0.964,640,0.188,0.179,385.112
22,0.037,0.976,0.981,0.972,680,0.187,0.179,385.715
23,0.037,0.98,0.984,0.976,720,0.19,0.178,386.308
24,0.04,0.977,0.98,0.975,760,0.189,0.179,388.851
25,0.041,0.977,0.978,0.977,800,0.188,0.179,396.657
26,0.037,0.976,0.984,0.969,840,0.186,0.179,411.465
27,0.04,0.975,0.97,0.979,880,0.185,0.179,400.31
28,0.032,0.979,0.983,0.975,920,0.184,0.179,405.248
29,0.032,0.979,0.983,0.976,960,0.185,0.179,409.407
30,0.039,0.977,0.983,0.972,1000,0.186,0.179,418.1
31,0.014,0.99,0.994,0.986,7417,0.18,0.18,890.572
