,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.002,0.002,0.001,0.003,0.0,0.0,0.0,59.578
1,0.149,0.352,0.507,0.438,0.0,0.0,0.0,24.747
2,0.096,0.01,0.029,0.016,0.0,0.0,0.0,19.971
3,0.025,0.016,0.046,0.042,0.0,0.0,0.0,8.101
4,0.018,0.02,0.034,0.019,0.0,0.0,0.0,4.423
5,0.025,0.026,0.012,0.04,0.0,0.0,0.0,7.431
6,0.026,0.03,0.069,0.02,0.0,0.0,0.0,15.342
7,0.011,0.01,0.01,0.025,0.0,0.0,0.0,22.101
8,0.009,0.007,0.014,0.016,0.0,0.0,0.0,11.274
9,0.015,0.013,0.011,0.017,0.0,0.0,0.0,19.709
10,0.008,0.006,0.013,0.006,0.0,0.0,0.0,26.408
11,0.011,0.007,0.014,0.004,0.0,0.0,0.0,19.079
12,0.026,0.024,0.01,0.043,0.0,0.0,0.0,23.454
13,0.008,0.008,0.008,0.016,0.0,0.0,0.0,15.524
14,0.023,0.018,0.009,0.038,0.0,0.0,0.0,19.776
15,0.003,0.004,0.007,0.002,0.0,0.0,0.0,17.498
16,0.004,0.002,0.006,0.003,0.0,0.0,0.0,24.346
17,0.004,0.001,0.004,0.003,0.0,0.0,0.0,6.412
18,0.004,0.002,0.003,0.002,0.0,0.0,0.0,26.935
19,0.003,0.002,0.001,0.003,0.0,0.0,0.0,22.047
20,0.004,0.002,0.006,0.004,0.0,0.0,0.0,11.659
21,0.003,0.002,0.003,0.002,0.0,0.0,0.0,25.607
22,0.004,0.004,0.01,0.002,0.0,0.0,0.0,17.481
23,0.007,0.002,0.003,0.001,0.0,0.0,0.0,8.889
24,0.004,0.004,0.004,0.007,0.0,0.0,0.0,17.407
25,0.003,0.003,0.006,0.002,0.0,0.0,0.0,11.027
26,0.003,0.002,0.005,0.002,0.0,0.0,0.0,15.552
27,0.001,0.004,0.007,0.002,0.0,0.0,0.0,9.055
28,0.006,0.003,0.007,0.006,0.0,0.0,0.0,17.348
29,0.002,0.001,0.003,0.004,0.0,0.0,0.0,24.559
30,0.005,0.004,0.003,0.006,0.0,0.0,0.0,25.653
