,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.154,0.898,0.895,0.904,200,418.379,0.182,0.186
1,0.104,0.929,0.924,0.934,240,484.052,0.238,0.185
2,0.114,0.923,0.925,0.924,280,488.533,0.28,0.185
3,0.103,0.934,0.934,0.934,320,484.84,0.306,0.184
4,0.1,0.933,0.929,0.939,360,491.431,0.34,0.183
5,0.095,0.938,0.936,0.94,400,493.126,0.356,0.182
6,0.1,0.94,0.938,0.942,440,505.472,0.369,0.181
7,0.094,0.944,0.94,0.947,480,506.874,0.38,0.181
8,0.091,0.944,0.937,0.951,520,516.192,0.386,0.18
9,0.091,0.946,0.952,0.939,560,482.857,0.394,0.179
10,0.09,0.945,0.952,0.938,600,508.927,0.409,0.178
11,0.09,0.94,0.924,0.958,640,515.887,0.419,0.177
12,0.091,0.948,0.94,0.957,680,522.373,0.418,0.177
13,0.081,0.95,0.947,0.953,720,515.196,0.42,0.176
14,0.099,0.946,0.952,0.94,760,524.429,0.424,0.175
15,0.09,0.946,0.947,0.944,800,532.123,0.428,0.174
16,0.096,0.947,0.943,0.95,840,519.623,0.432,0.174
17,0.087,0.949,0.947,0.952,880,521.805,0.434,0.173
18,0.088,0.948,0.947,0.95,920,519.531,0.434,0.172
19,0.09,0.951,0.949,0.952,960,529.459,0.438,0.171
20,0.091,0.95,0.947,0.954,1000,530.024,0.437,0.171
