,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.048,0.017,0.043,0.042,0.0,16.087,0.025,0.0
1,0.017,0.01,0.018,0.013,0.0,24.706,0.022,0.0
2,0.015,0.011,0.037,0.021,0.0,22.25,0.021,0.0
3,0.019,0.007,0.02,0.009,0.0,16.801,0.003,0.0
4,0.015,0.003,0.017,0.019,0.0,16.729,0.008,0.0
5,0.018,0.006,0.019,0.017,0.0,16.602,0.016,0.001
6,0.015,0.004,0.01,0.005,0.0,14.052,0.015,0.001
7,0.014,0.006,0.011,0.012,0.0,17.407,0.015,0.001
8,0.009,0.007,0.007,0.01,0.0,16.688,0.015,0.001
9,0.009,0.004,0.01,0.007,0.0,10.188,0.011,0.001
10,0.007,0.001,0.005,0.003,0.0,11.793,0.015,0.001
11,0.01,0.005,0.006,0.01,0.0,24.751,0.015,0.001
12,0.004,0.003,0.008,0.009,0.0,16.842,0.014,0.001
13,0.009,0.003,0.007,0.002,0.0,16.648,0.016,0.001
14,0.002,0.002,0.009,0.008,0.0,8.977,0.016,0.001
15,0.008,0.002,0.004,0.008,0.0,20.601,0.016,0.001
16,0.007,0.003,0.007,0.009,0.0,11.884,0.015,0.001
17,0.003,0.001,0.005,0.006,0.0,15.182,0.015,0.001
18,0.005,0.003,0.008,0.006,0.0,23.922,0.014,0.001
19,0.007,0.003,0.007,0.01,0.0,8.925,0.014,0.002
20,0.012,0.003,0.005,0.006,0.0,14.243,0.015,0.002
