,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.249,0.683,0.637,0.736,200,200,183.928,0.455,0.082
1,0.403,0.539,0.435,0.71,280,240,223.126,0.432,0.078
2,0.283,0.627,0.576,0.689,360,280,209.802,0.408,0.074
3,0.23,0.672,0.755,0.606,440,320,220.879,0.402,0.07
4,0.18,0.778,0.714,0.855,520,360,211.238,0.419,0.064
5,0.265,0.646,0.59,0.715,600,400,211.728,0.408,0.06
6,0.147,0.818,0.858,0.782,680,440,235.512,0.399,0.056
7,0.143,0.825,0.86,0.793,760,480,231.858,0.413,0.049
8,0.157,0.833,0.866,0.803,840,520,228.346,0.417,0.043
9,0.132,0.821,0.834,0.808,920,560,230.904,0.421,0.036
10,0.134,0.844,0.915,0.782,1000,600,245.486,0.425,0.029
11,0.159,0.829,0.869,0.793,1080,640,244.843,0.434,0.021
12,0.141,0.86,0.876,0.845,1160,680,249.917,0.436,0.014
13,0.134,0.863,0.877,0.85,1240,720,264.018,0.434,0.009
14,0.112,0.869,0.919,0.824,1304,752,255.82,0.418,0.008
15,0.106,0.89,0.947,0.839,1346,773,271.764,0.406,0.008
16,0.13,0.871,0.905,0.839,1396,798,262.946,0.393,0.008
17,0.128,0.874,0.884,0.865,1438,819,270.903,0.383,0.007
18,0.118,0.897,0.918,0.876,1480,840,282.593,0.373,0.007
19,0.133,0.845,0.845,0.845,1520,860,273.866,0.364,0.007
20,0.129,0.87,0.891,0.85,1574,887,273.282,0.353,0.007
