,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.341,0.172,0.326,0.143,200,314.425,0.076,0.094
1,0.36,0.401,0.612,0.322,232,359.813,0.117,0.093
2,0.248,0.62,0.715,0.564,272,344.843,0.162,0.091
3,0.221,0.676,0.717,0.665,312,340.729,0.199,0.088
4,0.256,0.561,0.607,0.527,352,357.479,0.224,0.086
5,0.166,0.768,0.821,0.727,392,366.749,0.24,0.084
6,0.206,0.62,0.611,0.633,432,365.866,0.255,0.082
7,0.224,0.594,0.67,0.568,468,374.802,0.257,0.08
8,0.16,0.794,0.789,0.8,508,376.63,0.269,0.078
9,0.174,0.788,0.747,0.834,548,371.815,0.274,0.076
10,0.136,0.83,0.838,0.826,588,366.461,0.274,0.075
11,0.214,0.61,0.583,0.653,628,382.035,0.28,0.073
12,0.139,0.824,0.843,0.808,664,371.23,0.284,0.071
13,0.132,0.839,0.867,0.813,704,377.418,0.29,0.068
14,0.215,0.64,0.659,0.625,744,377.853,0.299,0.065
15,0.134,0.818,0.808,0.829,780,382.217,0.308,0.063
16,0.139,0.823,0.839,0.81,820,387.54,0.305,0.061
17,0.193,0.662,0.653,0.674,860,384.226,0.307,0.059
18,0.189,0.666,0.673,0.661,896,381.805,0.304,0.058
19,0.239,0.583,0.567,0.62,932,392.371,0.304,0.056
20,0.244,0.516,0.527,0.505,968,385.166,0.305,0.054
