,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.016,0.011,0.02,0.017,0.0,0.0,0.0,5.663
1,0.085,0.0,0.0,0.0,0.0,0.0,0.0,17.174
2,0.095,0.018,0.298,0.009,0.0,0.0,0.0,7.246
3,0.03,0.026,0.093,0.088,0.0,0.0,0.0,11.211
4,0.029,0.025,0.114,0.109,0.0,0.0,0.0,10.756
5,0.128,0.055,0.079,0.079,0.0,0.0,0.0,8.104
6,0.073,0.062,0.087,0.068,0.0,0.0,0.0,3.715
7,0.063,0.048,0.074,0.099,0.0,0.0,0.0,9.861
8,0.099,0.034,0.07,0.102,0.0,0.0,0.0,11.777
9,0.073,0.039,0.082,0.115,0.0,0.0,0.0,9.347
10,0.06,0.064,0.069,0.11,0.0,0.0,0.0,21.72
11,0.025,0.011,0.032,0.054,0.0,0.0,0.0,3.724
12,0.042,0.007,0.062,0.082,0.0,0.0,0.0,9.035
13,0.025,0.031,0.041,0.062,0.0,0.0,0.0,10.615
14,0.082,0.028,0.047,0.071,0.0,0.0,0.0,4.264
15,0.082,0.059,0.079,0.011,0.0,0.0,0.0,7.902
16,0.041,0.04,0.058,0.025,0.0,0.0,0.0,3.466
17,0.058,0.03,0.06,0.028,0.0,0.0,0.0,12.55
18,0.044,0.028,0.04,0.006,0.0,0.0,0.0,19.289
19,0.082,0.055,0.078,0.011,0.0,0.0,0.0,9.894
20,0.086,0.057,0.088,0.01,0.0,0.0,0.0,9.08
21,0.043,0.025,0.041,0.016,0.0,0.0,0.0,12.531
22,0.029,0.023,0.041,0.017,0.0,0.0,0.0,10.122
23,0.054,0.037,0.056,0.013,0.0,0.0,0.0,8.851
24,0.062,0.051,0.076,0.018,0.0,0.0,0.0,7.357
25,0.032,0.019,0.033,0.011,0.0,0.0,0.0,13.994
26,0.043,0.049,0.087,0.01,0.0,0.0,0.0,18.14
27,0.019,0.022,0.037,0.007,0.0,0.0,0.0,12.31
28,0.033,0.028,0.053,0.011,0.0,0.0,0.0,10.225
29,0.037,0.026,0.045,0.009,0.0,0.0,0.0,14.057
30,0.055,0.037,0.061,0.009,0.0,0.0,0.0,4.249
