,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.043,0.011,0.001,0.021,0.0,0.0,0.0,4.429
1,0.025,0.0,0.0,0.0,0.0,0.104,0.007,16.3
2,0.198,0.0,0.0,0.0,0.0,0.095,0.013,0.449
3,0.063,0.0,0.0,0.0,0.0,0.042,0.01,3.146
4,0.008,0.021,0.037,0.057,0.0,0.045,0.015,3.223
5,0.081,0.043,0.079,0.037,0.0,0.05,0.023,11.394
6,0.1,0.04,0.069,0.043,0.0,0.035,0.021,6.456
7,0.049,0.01,0.021,0.0,0.0,0.03,0.023,3.848
8,0.021,0.014,0.026,0.057,0.0,0.027,0.027,12.469
9,0.025,0.029,0.022,0.037,0.0,0.015,0.019,4.627
10,0.083,0.018,0.045,0.021,0.0,0.013,0.022,6.893
11,0.016,0.012,0.018,0.043,0.0,0.009,0.026,5.807
12,0.059,0.03,0.002,0.057,0.0,0.006,0.042,7.89
13,0.064,0.03,0.002,0.057,0.0,0.002,0.577,4.203
