,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.043,0.011,0.001,0.021,0.0,0.0,0.0,17.838
1,0.017,0.0,0.0,0.0,0.0,0.0,0.0,15.279
2,0.058,0.323,0.171,0.334,0.0,0.0,0.0,2.116
3,0.049,0.044,0.05,0.057,0.0,0.0,0.0,4.222
4,0.058,0.042,0.025,0.057,0.0,0.0,0.0,3.206
5,0.041,0.027,0.032,0.021,0.0,0.0,0.0,6.43
6,0.018,0.009,0.052,0.043,0.0,0.0,0.0,6.726
7,0.007,0.011,0.019,0.021,0.0,0.0,0.0,6.762
8,0.136,0.026,0.032,0.021,0.0,0.0,0.0,10.566
9,0.006,0.011,0.019,0.021,0.0,0.0,0.0,13.412
10,0.068,0.017,0.039,0.021,0.0,0.0,0.0,9.644
11,0.061,0.011,0.001,0.021,0.0,0.0,0.0,5.701
