,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.345,0.39,0.588,0.323,200.0,356.096,0.107,0.107
1,0.287,0.564,0.704,0.497,280.0,402.868,0.186,0.103
2,0.229,0.708,0.804,0.655,355.6,412.858,0.254,0.098
3,0.186,0.783,0.827,0.752,435.6,414.563,0.298,0.092
4,0.171,0.823,0.879,0.778,515.6,424.72,0.326,0.086
5,0.156,0.835,0.861,0.814,595.6,433.234,0.35,0.079
6,0.147,0.851,0.892,0.814,675.6,434.879,0.36,0.074
7,0.133,0.869,0.9,0.841,755.6,441.675,0.378,0.066
8,0.134,0.865,0.892,0.841,835.6,448.869,0.387,0.06
9,0.104,0.89,0.918,0.865,915.6,462.013,0.394,0.053
10,0.111,0.889,0.914,0.865,995.6,466.214,0.401,0.046
11,0.098,0.9,0.929,0.874,1075.6,476.069,0.406,0.039
12,0.104,0.894,0.923,0.868,1155.6,473.02,0.412,0.031
13,0.099,0.9,0.931,0.871,1235.6,482.276,0.418,0.022
14,0.211,0.709,0.724,0.694,1315.6,485.021,0.422,0.014
15,0.104,0.893,0.92,0.868,1381.6,498.96,0.42,0.008
16,0.099,0.897,0.923,0.874,1437.6,498.516,0.415,0.006
17,0.1,0.895,0.916,0.876,1485.6,503.064,0.406,0.005
18,0.11,0.89,0.908,0.873,1530.4,504.144,0.395,0.004
19,0.101,0.895,0.91,0.882,1573.2,515.023,0.385,0.004
20,0.107,0.898,0.922,0.876,1616.4,511.496,0.375,0.004
