,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.018,0.01,0.016,0.02,0.0,0.0,0.0,93.048
1,0.069,0.0,0.0,0.0,0.0,0.115,0.0,32.976
2,0.197,0.0,0.0,0.0,0.0,0.078,0.0,36.296
3,0.065,0.0,0.0,0.0,0.0,0.046,0.0,43.163
4,0.051,0.118,0.238,0.078,0.0,0.047,0.001,32.976
5,0.08,0.189,0.216,0.168,0.0,0.039,0.001,44.557
6,0.05,0.195,0.269,0.184,0.0,0.034,0.001,44.045
7,0.109,0.121,0.037,0.188,0.0,0.019,0.0,31.075
8,0.045,0.234,0.331,0.183,0.0,0.017,0.0,36.794
9,0.103,0.102,0.131,0.213,0.0,0.014,0.0,36.274
10,0.122,0.164,0.211,0.202,0.0,0.014,0.0,31.25
11,0.033,0.119,0.033,0.169,0.0,0.02,0.001,40.686
12,0.104,0.072,0.085,0.157,0.0,0.016,0.001,32.361
13,0.076,0.12,0.098,0.146,0.0,0.013,0.001,34.447
14,0.087,0.12,0.071,0.16,0.0,0.005,0.0,31.414
15,0.08,0.111,0.138,0.106,0.0,0.008,0.001,38.568
16,0.063,0.062,0.073,0.08,0.0,0.005,0.0,28.69
17,0.069,0.017,0.083,0.04,0.0,0.003,0.0,37.435
18,0.07,0.139,0.155,0.128,0.0,0.003,0.0,37.969
19,0.049,0.116,0.137,0.117,0.0,0.005,0.0,41.86
20,0.051,0.085,0.113,0.087,0.0,0.005,0.0,41.498
21,0.052,0.106,0.085,0.137,0.0,0.007,0.001,44.983
22,0.049,0.047,0.034,0.06,0.0,0.005,0.001,48.765
23,0.062,0.125,0.067,0.161,0.0,0.005,0.001,44.906
24,0.094,0.06,0.055,0.09,0.0,0.005,0.001,49.355
25,0.075,0.034,0.03,0.051,0.0,0.005,0.001,37.978
26,0.053,0.079,0.071,0.093,0.0,0.006,0.001,40.646
27,0.064,0.054,0.046,0.073,0.0,0.005,0.001,47.773
28,0.061,0.067,0.073,0.093,0.0,0.005,0.001,47.548
29,0.043,0.149,0.141,0.166,0.0,0.005,0.001,41.499
30,0.036,0.04,0.056,0.058,0.0,0.006,0.001,43.123
31,0.019,0.009,0.016,0.007,0.0,0.0,0.0,80.027
