,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.236,0.277,0.225,0.36,0.0,0.0,1.059,0.021,0.001
1,0.019,0.029,0.064,0.009,28.284,14.142,19.772,0.024,0.001
2,0.002,0.021,0.024,0.018,28.284,14.142,13.339,0.001,0.0
3,0.105,0.053,0.011,0.112,28.284,14.142,11.309,0.012,0.0
4,0.025,0.026,0.012,0.036,28.284,14.142,10.259,0.013,0.0
5,0.021,0.044,0.013,0.066,28.284,14.142,89.134,0.005,0.0
6,0.003,0.039,0.055,0.027,28.284,14.142,14.458,0.013,0.0
7,0.013,0.009,0.047,0.024,28.284,14.142,8.782,0.021,0.002
8,0.044,0.034,0.063,0.012,28.284,14.142,4.418,0.015,0.001
9,0.022,0.008,0.035,0.036,28.284,14.142,10.638,0.01,0.0
10,0.009,0.001,0.021,0.012,28.284,14.142,12.339,0.014,0.001
11,0.01,0.003,0.001,0.006,28.284,14.142,9.937,0.012,0.001
12,0.003,0.022,0.057,0.006,28.284,14.142,1.593,0.012,0.001
13,0.029,0.022,0.003,0.039,28.284,14.142,12.227,0.012,0.001
14,0.018,0.033,0.021,0.042,28.284,14.142,9.19,0.009,0.001
15,0.013,0.003,0.01,0.012,28.284,14.142,10.797,0.006,0.0
16,0.017,0.027,0.02,0.03,28.284,14.142,6.631,0.012,0.001
17,0.016,0.005,0.005,0.012,28.284,14.142,8.906,0.007,0.0
18,0.011,0.001,0.03,0.018,28.284,14.142,6.832,0.002,0.001
19,0.011,0.016,0.008,0.021,24.042,12.021,10.33,0.004,0.0
20,0.013,0.0,0.0,0.0,38.184,19.092,6.892,0.005,0.0
