,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.077,0.946,0.919,0.976,200,285.603,0.194,0.179
1,0.038,0.973,0.971,0.976,280,328.747,0.249,0.177
2,0.023,0.984,0.983,0.984,360,337.404,0.292,0.174
3,0.019,0.987,0.989,0.986,440,348.552,0.33,0.17
4,0.017,0.989,0.988,0.989,520,344.932,0.364,0.166
5,0.017,0.988,0.988,0.988,600,347.828,0.382,0.162
6,0.016,0.989,0.989,0.989,680,365.324,0.395,0.158
7,0.018,0.989,0.989,0.988,760,365.145,0.406,0.154
8,0.017,0.989,0.989,0.988,840,371.903,0.415,0.15
9,0.017,0.988,0.99,0.987,920,378.968,0.422,0.145
10,0.016,0.988,0.989,0.986,1000,386.913,0.428,0.141
11,0.013,0.99,0.991,0.99,1080,392.168,0.434,0.136
12,0.017,0.989,0.988,0.989,1160,391.573,0.438,0.132
13,0.017,0.989,0.99,0.988,1240,401.945,0.442,0.127
14,0.015,0.987,0.988,0.986,1320,402.095,0.446,0.122
15,0.016,0.988,0.99,0.987,1400,408.12,0.448,0.117
16,0.015,0.989,0.991,0.988,1480,426.911,0.451,0.112
17,0.011,0.99,0.991,0.988,1560,430.057,0.453,0.107
18,0.014,0.99,0.992,0.988,1640,434.028,0.455,0.101
19,0.014,0.989,0.992,0.986,1720,443.313,0.457,0.096
20,0.013,0.989,0.992,0.986,1800,439.502,0.459,0.09
