,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.077,0.946,0.919,0.976,200,298.811,0.194,0.179
1,0.039,0.974,0.97,0.979,240,328.492,0.209,0.179
2,0.032,0.979,0.973,0.986,280,339.7,0.239,0.177
3,0.023,0.983,0.988,0.978,320,339.923,0.26,0.176
4,0.02,0.986,0.986,0.985,360,338.907,0.299,0.173
5,0.018,0.988,0.989,0.986,400,343.812,0.326,0.171
6,0.016,0.988,0.988,0.989,440,363.091,0.345,0.169
7,0.017,0.988,0.99,0.987,480,361.639,0.358,0.167
8,0.014,0.99,0.991,0.988,520,340.222,0.37,0.165
9,0.016,0.989,0.989,0.989,560,367.402,0.379,0.163
10,0.016,0.989,0.99,0.988,600,354.344,0.387,0.161
11,0.017,0.988,0.99,0.987,640,365.989,0.394,0.159
12,0.017,0.989,0.99,0.987,680,375.992,0.4,0.157
13,0.016,0.988,0.989,0.987,720,372.369,0.406,0.155
14,0.015,0.989,0.988,0.989,760,373.684,0.411,0.153
15,0.017,0.988,0.99,0.987,800,382.648,0.415,0.151
16,0.016,0.989,0.988,0.991,840,378.679,0.419,0.149
17,0.019,0.989,0.989,0.989,880,397.525,0.423,0.147
18,0.015,0.989,0.99,0.989,920,390.938,0.426,0.145
19,0.018,0.986,0.984,0.988,960,395.116,0.429,0.142
20,0.017,0.988,0.989,0.986,1000,414.363,0.432,0.14
