,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.072,0.953,0.933,0.974,200,200,204.869,0.215,0.179
1,0.055,0.968,0.961,0.976,280,240,247.769,0.268,0.176
2,0.018,0.987,0.989,0.985,360,280,260.831,0.303,0.173
3,0.023,0.986,0.989,0.984,440,320,260.895,0.343,0.169
4,0.016,0.988,0.99,0.985,520,360,266.064,0.369,0.165
5,0.019,0.989,0.988,0.991,600,400,285.999,0.389,0.161
6,0.017,0.989,0.988,0.99,680,440,274.557,0.401,0.157
7,0.018,0.989,0.99,0.988,760,480,280.845,0.412,0.153
8,0.017,0.989,0.99,0.988,840,520,280.721,0.421,0.149
9,0.018,0.986,0.984,0.988,920,560,292.511,0.428,0.144
10,0.017,0.988,0.99,0.986,1000,600,298.879,0.434,0.14
11,0.015,0.99,0.991,0.99,1080,640,302.811,0.439,0.135
12,0.012,0.99,0.991,0.989,1160,680,316.415,0.442,0.131
13,0.016,0.989,0.99,0.988,1240,720,321.535,0.446,0.126
14,0.012,0.99,0.992,0.988,1320,760,315.23,0.45,0.121
15,0.018,0.989,0.99,0.988,1400,800,315.971,0.452,0.116
16,0.017,0.99,0.992,0.988,1480,840,324.226,0.455,0.111
17,0.012,0.99,0.991,0.99,1560,880,326.857,0.457,0.106
18,0.014,0.99,0.993,0.986,1640,920,339.607,0.459,0.1
19,0.017,0.988,0.992,0.983,1720,960,356.69,0.461,0.095
20,0.011,0.992,0.994,0.989,1800,1000,348.757,0.463,0.089
