,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.019,0.012,0.027,0.008,0.0,19.124,0.029,0.001
1,0.011,0.008,0.016,0.012,0.0,18.763,0.026,0.001
2,0.007,0.006,0.005,0.009,0.0,12.616,0.02,0.001
3,0.002,0.002,0.004,0.005,0.0,12.918,0.018,0.001
4,0.001,0.001,0.003,0.004,0.0,12.798,0.014,0.001
5,0.005,0.002,0.003,0.003,0.0,14.097,0.013,0.001
6,0.004,0.001,0.002,0.002,0.0,12.199,0.009,0.001
7,0.005,0.003,0.004,0.003,0.0,10.311,0.008,0.001
8,0.002,0.001,0.002,0.003,0.0,14.223,0.008,0.001
9,0.004,0.002,0.002,0.003,0.0,12.29,0.008,0.001
10,0.003,0.003,0.005,0.002,0.0,5.134,0.008,0.001
11,0.003,0.001,0.002,0.003,0.0,12.345,0.007,0.001
12,0.002,0.001,0.002,0.003,0.0,16.756,0.007,0.001
13,0.005,0.002,0.003,0.004,0.0,9.153,0.006,0.001
14,0.002,0.001,0.002,0.002,0.0,13.838,0.006,0.001
15,0.002,0.002,0.001,0.004,0.0,10.674,0.006,0.001
16,0.004,0.002,0.002,0.003,0.0,29.82,0.005,0.001
17,0.003,0.002,0.003,0.003,0.0,26.796,0.005,0.001
18,0.004,0.002,0.003,0.003,0.0,20.42,0.005,0.001
19,0.003,0.001,0.003,0.002,0.0,17.955,0.004,0.001
20,0.003,0.002,0.003,0.002,0.0,20.464,0.004,0.001
