,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.019,0.012,0.027,0.008,0.0,26.799,0.029,0.001
1,0.004,0.003,0.013,0.012,0.0,24.807,0.028,0.001
2,0.016,0.008,0.019,0.004,0.0,26.329,0.034,0.001
3,0.006,0.005,0.005,0.008,0.0,23.962,0.023,0.001
4,0.004,0.004,0.004,0.009,0.0,22.938,0.029,0.001
5,0.002,0.002,0.003,0.006,0.0,28.126,0.019,0.001
6,0.002,0.002,0.002,0.003,0.0,31.089,0.017,0.001
7,0.002,0.001,0.002,0.003,0.0,32.841,0.018,0.001
8,0.002,0.002,0.001,0.003,0.0,17.104,0.017,0.001
9,0.003,0.001,0.002,0.002,0.0,30.155,0.016,0.001
10,0.001,0.001,0.001,0.002,0.0,27.957,0.015,0.001
11,0.001,0.002,0.001,0.003,0.0,22.914,0.014,0.001
12,0.001,0.001,0.001,0.002,0.0,24.496,0.014,0.001
13,0.003,0.001,0.002,0.004,0.0,24.936,0.013,0.001
14,0.001,0.002,0.004,0.002,0.0,25.082,0.012,0.001
15,0.002,0.001,0.001,0.003,0.0,18.372,0.012,0.001
16,0.002,0.001,0.002,0.004,0.0,15.401,0.011,0.001
17,0.002,0.001,0.001,0.002,0.0,9.147,0.011,0.001
18,0.002,0.001,0.002,0.002,0.0,24.194,0.01,0.001
19,0.003,0.003,0.005,0.002,0.0,30.718,0.01,0.001
20,0.001,0.001,0.002,0.002,0.0,22.619,0.009,0.001
