,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.026,0.006,0.003,0.008,0.0,0.0,7.027,0.021,0.001
1,0.001,0.005,0.029,0.021,0.0,0.0,14.925,0.02,0.001
2,0.003,0.001,0.003,0.002,0.0,0.0,11.756,0.024,0.001
3,0.002,0.0,0.003,0.003,0.0,0.0,4.585,0.016,0.001
4,0.001,0.0,0.002,0.002,0.0,0.0,2.592,0.0,0.0
5,0.005,0.004,0.005,0.003,0.0,0.0,0.536,0.004,0.0
6,0.001,0.0,0.005,0.005,0.0,0.0,4.557,0.0,0.0
7,0.005,0.003,0.005,0.002,0.0,0.0,2.608,0.001,0.0
8,0.002,0.002,0.002,0.002,0.0,0.0,3.683,0.001,0.0
9,0.0,0.002,0.003,0.002,0.0,0.0,12.786,0.0,0.0
10,0.007,0.004,0.005,0.003,0.0,0.0,20.216,0.0,0.0
11,0.001,0.001,0.0,0.002,0.0,0.0,1.988,0.0,0.0
12,0.003,0.0,0.003,0.003,0.0,0.0,22.861,0.001,0.0
13,0.001,0.0,0.002,0.002,0.0,0.0,27.779,0.001,0.0
14,0.002,0.002,0.002,0.002,0.0,0.0,16.172,0.001,0.0
15,0.001,0.0,0.002,0.002,0.0,0.0,11.606,0.001,0.0
16,0.002,0.003,0.005,0.002,0.0,0.0,14.55,0.0,0.0
17,0.004,0.001,0.003,0.002,0.0,0.0,11.774,0.0,0.0
18,0.003,0.0,0.003,0.003,0.0,0.0,15.58,0.0,0.0
19,0.004,0.0,0.002,0.002,0.0,0.0,19.504,0.0,0.0
20,0.006,0.001,0.002,0.0,0.0,0.0,17.999,0.0,0.0
