,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.154,0.898,0.895,0.904,200,407.683,0.182,0.186
1,0.109,0.923,0.91,0.938,280,495.922,0.273,0.185
2,0.109,0.929,0.921,0.939,360,494.842,0.322,0.183
3,0.11,0.937,0.923,0.953,440,495.33,0.35,0.182
4,0.106,0.937,0.934,0.94,520,496.412,0.365,0.181
5,0.099,0.938,0.935,0.942,600,497.081,0.388,0.179
6,0.105,0.94,0.94,0.94,680,513.172,0.396,0.178
7,0.1,0.943,0.942,0.945,760,510.287,0.408,0.176
8,0.097,0.947,0.941,0.952,840,511.754,0.414,0.175
9,0.096,0.947,0.942,0.953,920,509.32,0.422,0.173
10,0.093,0.947,0.94,0.954,1000,518.072,0.427,0.171
11,0.098,0.945,0.945,0.945,1080,537.019,0.429,0.17
12,0.096,0.949,0.943,0.956,1160,539.011,0.435,0.168
13,0.095,0.948,0.947,0.949,1240,532.963,0.439,0.167
14,0.105,0.946,0.951,0.941,1320,551.528,0.441,0.165
15,0.1,0.95,0.948,0.953,1400,555.693,0.445,0.163
16,0.1,0.946,0.944,0.948,1480,559.327,0.448,0.162
17,0.098,0.95,0.947,0.953,1560,571.769,0.451,0.16
18,0.098,0.951,0.945,0.957,1640,568.979,0.454,0.158
19,0.094,0.951,0.95,0.953,1720,569.484,0.454,0.157
20,0.098,0.95,0.949,0.95,1800,588.039,0.456,0.155
