,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.11,0.955,0.946,0.963,0.186,0.186,0,1629.778
1,0.464,0.0,0.0,0.0,0.3,0.186,20,473.073
2,0.331,0.842,0.865,0.833,0.425,0.186,40,456.496
3,0.144,0.888,0.856,0.927,0.417,0.185,60,451.162
4,0.141,0.876,0.847,0.908,0.438,0.185,80,474.284
5,0.123,0.898,0.871,0.928,0.46,0.185,100,476.298
6,0.125,0.903,0.873,0.937,0.475,0.184,120,465.25
7,0.13,0.892,0.87,0.917,0.479,0.184,140,465.624
8,0.134,0.911,0.89,0.934,0.481,0.183,160,464.451
9,0.122,0.914,0.895,0.935,0.472,0.183,180,479.165
10,0.122,0.912,0.897,0.929,0.485,0.183,200,485.326
11,0.122,0.913,0.91,0.917,0.492,0.182,240,476.457
12,0.14,0.915,0.912,0.919,0.504,0.181,280,478.296
13,0.124,0.919,0.924,0.915,0.506,0.18,320,479.128
14,0.126,0.92,0.916,0.925,0.511,0.179,360,503.043
15,0.129,0.918,0.921,0.915,0.507,0.179,400,495.806
16,0.131,0.926,0.915,0.937,0.5,0.178,440,505.514
17,0.131,0.927,0.918,0.937,0.498,0.177,480,509.879
18,0.132,0.926,0.922,0.93,0.487,0.177,520,507.127
19,0.137,0.92,0.925,0.916,0.486,0.176,560,509.548
20,0.133,0.927,0.927,0.927,0.49,0.175,600,509.338
21,0.122,0.933,0.931,0.935,0.484,0.175,640,501.4
22,0.123,0.929,0.936,0.922,0.487,0.174,680,517.139
23,0.135,0.931,0.935,0.928,0.492,0.173,720,533.479
24,0.135,0.929,0.937,0.92,0.487,0.172,760,537.417
25,0.14,0.927,0.932,0.922,0.488,0.172,800,530.867
26,0.128,0.932,0.937,0.928,0.488,0.171,840,530.933
27,0.133,0.926,0.942,0.911,0.49,0.17,880,542.001
28,0.123,0.933,0.935,0.932,0.49,0.169,920,551.135
29,0.13,0.928,0.94,0.916,0.489,0.168,960,549.04
30,0.14,0.929,0.942,0.918,0.491,0.167,1000,555.881
