,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.005,0.002,0.006,0.004,0.0,0.0,0.0,76.176
1,0.082,0.0,0.0,0.0,0.0,0.119,0.0,41.129
2,0.106,0.0,0.0,0.0,0.0,0.066,0.0,33.905
3,0.05,0.363,0.4,0.348,0.0,0.045,0.0,23.127
4,0.045,0.378,0.392,0.384,0.0,0.04,0.0,52.924
5,0.032,0.02,0.025,0.037,0.0,0.027,0.0,30.464
6,0.026,0.018,0.013,0.03,0.0,0.02,0.0,36.474
7,0.026,0.015,0.01,0.028,0.0,0.023,0.0,31.629
8,0.019,0.018,0.064,0.083,0.0,0.023,0.0,23.819
9,0.027,0.009,0.032,0.041,0.0,0.023,0.0,29.014
10,0.048,0.017,0.043,0.042,0.0,0.025,0.0,34.515
11,0.025,0.016,0.017,0.044,0.0,0.029,0.0,39.331
12,0.031,0.013,0.03,0.037,0.0,0.024,0.0,34.127
13,0.037,0.014,0.011,0.032,0.0,0.024,0.0,35.329
14,0.027,0.008,0.03,0.035,0.0,0.015,0.0,29.194
15,0.025,0.011,0.032,0.036,0.0,0.012,0.0,48.664
16,0.011,0.008,0.014,0.03,0.0,0.012,0.0,36.282
17,0.015,0.007,0.031,0.028,0.0,0.013,0.0,35.894
18,0.026,0.011,0.024,0.013,0.0,0.013,0.0,29.786
19,0.016,0.004,0.019,0.013,0.0,0.009,0.0,35.567
20,0.023,0.01,0.019,0.012,0.0,0.008,0.0,37.572
21,0.01,0.005,0.015,0.011,0.0,0.006,0.0,33.376
22,0.021,0.008,0.026,0.015,0.0,0.008,0.0,34.429
23,0.024,0.003,0.018,0.021,0.0,0.006,0.0,38.027
24,0.01,0.005,0.017,0.01,0.0,0.007,0.0,40.454
25,0.011,0.005,0.03,0.024,0.0,0.007,0.0,28.673
26,0.014,0.005,0.015,0.019,0.0,0.009,0.0,42.809
27,0.017,0.006,0.006,0.015,0.0,0.006,0.0,35.034
28,0.008,0.006,0.013,0.019,0.0,0.005,0.0,23.037
29,0.018,0.004,0.013,0.016,0.0,0.005,0.0,20.623
30,0.007,0.005,0.007,0.012,0.0,0.004,0.0,18.365
31,0.009,0.004,0.002,0.008,0.0,0.0,0.0,28.025
