,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.025,0.011,0.044,0.068,0.0,0.0,17.498,0.021,0.0
1,0.026,0.006,0.033,0.042,0.0,0.0,44.694,0.0,0.0
2,0.002,0.005,0.015,0.023,0.0,0.0,44.007,0.02,0.0
3,0.007,0.008,0.009,0.024,0.0,0.0,25.537,0.026,0.001
4,0.033,0.017,0.002,0.031,0.0,0.0,29.772,0.039,0.001
5,0.002,0.001,0.005,0.006,0.0,0.0,45.947,0.038,0.001
6,0.002,0.002,0.002,0.001,0.0,0.0,31.622,0.028,0.001
7,0.002,0.005,0.002,0.008,0.0,0.0,17.356,0.025,0.001
8,0.002,0.003,0.001,0.007,0.0,0.0,34.928,0.024,0.001
9,0.001,0.0,0.017,0.017,0.0,0.0,33.785,0.015,0.001
10,0.001,0.003,0.002,0.007,0.0,0.0,7.693,0.006,0.0
11,0.016,0.002,0.002,0.001,0.0,0.0,10.708,0.003,0.0
12,0.001,0.004,0.008,0.016,0.0,0.0,29.174,0.004,0.0
13,0.01,0.003,0.004,0.002,0.0,0.0,6.849,0.01,0.001
14,0.005,0.006,0.013,0.002,0.0,0.0,11.38,0.013,0.001
15,0.011,0.002,0.007,0.003,0.0,0.0,2.003,0.011,0.001
16,0.003,0.003,0.001,0.005,0.0,0.0,21.799,0.013,0.001
17,0.007,0.002,0.001,0.004,0.0,0.0,37.11,0.013,0.001
18,0.007,0.001,0.002,0.001,0.0,0.0,27.586,0.011,0.001
19,0.005,0.0,0.001,0.002,0.0,0.0,35.685,0.008,0.001
20,0.015,0.001,0.0,0.003,0.0,0.0,11.681,0.005,0.001
