,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.17,0.859,0.872,0.848,0,0.094,0.094,863.705
1,0.351,0.0,0.0,0.0,20,0.07,0.094,405.327
2,0.325,0.0,0.0,0.0,40,0.075,0.094,411.45
3,0.359,0.0,0.0,0.0,60,0.063,0.094,415.264
4,0.353,0.0,0.0,0.0,80,0.07,0.094,418.733
5,0.378,0.057,0.049,0.068,100,0.07,0.094,419.323
6,0.373,0.083,0.13,0.061,120,0.075,0.094,417.946
7,0.351,0.098,0.201,0.068,140,0.073,0.094,421.056
8,0.428,0.07,0.164,0.046,160,0.072,0.094,431.812
9,0.399,0.013,0.074,0.007,180,0.072,0.094,415.848
10,0.341,0.172,0.326,0.143,200,0.076,0.094,418.4
11,0.394,0.255,0.401,0.191,240,0.081,0.094,421.699
12,0.425,0.167,0.316,0.119,280,0.081,0.094,427.253
13,0.41,0.196,0.367,0.137,320,0.076,0.095,418.782
14,0.34,0.27,0.337,0.227,360,0.077,0.095,430.05
15,0.32,0.451,0.601,0.38,400,0.078,0.095,431.946
16,0.38,0.216,0.311,0.175,440,0.078,0.095,435.147
17,0.331,0.455,0.592,0.393,480,0.081,0.095,435.281
18,0.277,0.607,0.687,0.548,520,0.081,0.095,460.959
19,0.296,0.438,0.492,0.406,560,0.08,0.095,444.362
20,0.226,0.687,0.749,0.64,600,0.082,0.095,440.119
21,0.241,0.68,0.8,0.595,640,0.084,0.095,444.722
22,0.305,0.56,0.627,0.523,680,0.084,0.095,453.005
23,0.24,0.671,0.761,0.611,720,0.085,0.095,468.205
24,0.254,0.673,0.78,0.621,760,0.085,0.095,457.09
25,0.269,0.634,0.685,0.596,800,0.086,0.095,468.888
26,0.249,0.651,0.733,0.603,840,0.088,0.095,463.52
27,0.244,0.67,0.733,0.626,880,0.087,0.095,483.082
28,0.238,0.69,0.751,0.642,920,0.089,0.095,468.304
29,0.194,0.759,0.812,0.715,960,0.088,0.095,472.492
30,0.286,0.505,0.57,0.464,1000,0.087,0.095,484.034
31,0.163,0.862,0.882,0.844,6144,0.094,0.094,857.014
