,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.17,0.859,0.872,0.848,0.094,0.094,0,847.468
1,0.446,0.0,0.0,0.0,0.3,0.093,20,399.502
2,0.453,0.008,0.133,0.004,0.4,0.092,40,404.538
3,0.298,0.376,0.388,0.397,0.417,0.091,60,409.823
4,0.281,0.424,0.426,0.466,0.438,0.089,80,404.635
5,0.372,0.44,0.367,0.582,0.46,0.088,100,402.235
6,0.349,0.497,0.441,0.582,0.475,0.086,120,406.223
7,0.331,0.506,0.455,0.59,0.457,0.085,140,402.367
8,0.411,0.498,0.406,0.67,0.456,0.084,160,405.585
9,0.367,0.508,0.458,0.597,0.456,0.083,180,413.671
10,0.333,0.572,0.526,0.64,0.455,0.082,200,423.132
11,0.291,0.615,0.59,0.648,0.467,0.079,240,425.272
12,0.291,0.609,0.604,0.627,0.468,0.076,280,424.371
13,0.291,0.623,0.573,0.687,0.469,0.073,320,434.688
14,0.327,0.638,0.522,0.829,0.481,0.07,360,439.862
15,0.326,0.649,0.551,0.795,0.488,0.066,400,440.539
16,0.216,0.747,0.671,0.846,0.5,0.062,440,441.201
17,0.263,0.727,0.621,0.884,0.504,0.059,480,447.335
18,0.239,0.731,0.622,0.887,0.512,0.055,520,447.915
19,0.31,0.689,0.563,0.896,0.516,0.051,560,439.962
20,0.27,0.739,0.634,0.893,0.518,0.048,600,437.337
21,0.251,0.74,0.629,0.902,0.517,0.045,640,446.371
22,0.234,0.746,0.643,0.89,0.518,0.041,680,449.273
23,0.256,0.734,0.624,0.897,0.522,0.037,720,448.11
24,0.282,0.708,0.594,0.883,0.522,0.033,760,443.118
25,0.226,0.757,0.655,0.896,0.519,0.03,800,461.513
26,0.209,0.776,0.695,0.886,0.495,0.03,840,469.302
27,0.205,0.784,0.713,0.87,0.477,0.03,880,473.329
28,0.208,0.771,0.687,0.883,0.463,0.029,920,481.086
29,0.208,0.782,0.708,0.875,0.452,0.027,960,479.106
30,0.221,0.775,0.691,0.885,0.439,0.027,1000,485.544
