,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.293,0.62,0.562,0.694,200.0,200.0,195.178,0.455,0.082
1,0.349,0.599,0.497,0.754,280.0,240.0,217.33,0.434,0.078
2,0.275,0.641,0.627,0.661,360.0,280.0,216.273,0.406,0.074
3,0.206,0.733,0.76,0.715,440.0,320.0,227.002,0.4,0.07
4,0.171,0.789,0.748,0.837,520.0,360.0,229.163,0.404,0.065
5,0.208,0.724,0.703,0.751,600.0,400.0,227.742,0.402,0.06
6,0.145,0.825,0.844,0.808,680.0,440.0,237.036,0.398,0.056
7,0.14,0.824,0.851,0.798,760.0,480.0,243.197,0.409,0.049
8,0.155,0.827,0.846,0.808,840.0,520.0,243.165,0.414,0.043
9,0.135,0.825,0.843,0.808,920.0,560.0,244.895,0.418,0.037
10,0.144,0.83,0.865,0.801,1000.0,600.0,266.135,0.422,0.03
11,0.143,0.829,0.851,0.808,1080.0,640.0,261.291,0.425,0.023
12,0.134,0.863,0.879,0.847,1160.0,680.0,266.322,0.427,0.016
13,0.138,0.845,0.84,0.85,1240.0,720.0,264.385,0.426,0.01
14,0.121,0.863,0.908,0.821,1312.0,756.0,268.743,0.414,0.008
15,0.117,0.877,0.91,0.847,1357.0,778.5,286.566,0.403,0.007
16,0.136,0.869,0.898,0.842,1411.0,805.5,280.643,0.39,0.007
17,0.131,0.877,0.905,0.852,1459.0,829.5,291.617,0.379,0.006
18,0.116,0.891,0.918,0.865,1501.0,850.5,281.719,0.369,0.006
19,0.13,0.859,0.875,0.845,1541.0,870.5,290.209,0.361,0.006
20,0.128,0.877,0.897,0.858,1589.0,894.5,292.341,0.35,0.006
