,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.065,0.204,0.305,0.192,0.0,8.54,0.016,0.001
1,0.092,0.249,0.149,0.24,21.909,5.697,0.021,0.001
2,0.032,0.086,0.07,0.124,21.909,10.252,0.036,0.002
3,0.036,0.043,0.056,0.078,21.909,11.513,0.03,0.003
4,0.019,0.017,0.022,0.039,21.909,5.651,0.019,0.002
5,0.021,0.032,0.039,0.043,21.909,4.699,0.018,0.003
6,0.024,0.027,0.04,0.037,21.909,11.401,0.02,0.003
7,0.015,0.027,0.028,0.029,21.909,9.566,0.017,0.003
8,0.016,0.018,0.047,0.037,21.909,10.909,0.018,0.004
9,0.013,0.009,0.034,0.019,21.909,12.243,0.011,0.002
10,0.018,0.021,0.035,0.009,21.909,7.754,0.011,0.003
11,0.012,0.004,0.019,0.013,21.909,5.763,0.012,0.003
12,0.008,0.027,0.042,0.019,21.909,18.092,0.009,0.003
13,0.014,0.008,0.019,0.02,21.909,9.08,0.011,0.003
14,0.006,0.011,0.028,0.016,21.909,10.378,0.01,0.003
15,0.011,0.011,0.024,0.018,21.909,11.567,0.009,0.002
16,0.011,0.012,0.013,0.025,21.615,11.182,0.007,0.001
17,0.007,0.009,0.015,0.016,27.857,13.598,0.008,0.001
18,0.025,0.016,0.029,0.013,24.273,7.087,0.007,0.001
19,0.148,0.387,0.393,0.382,25.02,6.225,0.007,0.001
20,0.007,0.022,0.047,0.009,27.254,7.272,0.007,0.001
