,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.065,0.204,0.305,0.192,0.0,14.001,0.016,0.001
1,0.153,0.181,0.246,0.184,10.954,22.39,0.004,0.0
2,0.062,0.062,0.083,0.132,10.954,14.946,0.038,0.002
3,0.051,0.07,0.139,0.109,10.954,10.01,0.033,0.002
4,0.121,0.244,0.229,0.251,10.954,17.841,0.032,0.002
5,0.038,0.095,0.061,0.128,10.954,24.689,0.03,0.002
6,0.112,0.348,0.348,0.355,10.954,20.766,0.026,0.002
7,0.086,0.323,0.236,0.318,17.889,19.0,0.021,0.002
8,0.025,0.045,0.063,0.036,17.889,15.307,0.014,0.002
9,0.023,0.014,0.024,0.004,17.889,12.344,0.013,0.002
10,0.033,0.023,0.057,0.027,17.889,16.091,0.008,0.001
11,0.106,0.353,0.356,0.365,17.889,20.469,0.018,0.002
12,0.015,0.031,0.051,0.054,21.909,13.676,0.012,0.001
13,0.014,0.023,0.03,0.02,21.909,19.345,0.013,0.002
14,0.126,0.36,0.377,0.35,21.909,22.439,0.009,0.002
15,0.005,0.026,0.038,0.021,20.0,12.807,0.015,0.002
16,0.022,0.022,0.043,0.03,20.0,26.573,0.014,0.002
17,0.139,0.371,0.369,0.377,20.0,17.922,0.014,0.002
18,0.132,0.373,0.377,0.371,26.077,19.32,0.018,0.003
19,0.134,0.367,0.385,0.354,22.804,18.33,0.017,0.003
20,0.164,0.471,0.483,0.461,17.889,14.606,0.02,0.004
