,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.035,0.232,0.441,0.158,0.0,0.0,14.834,0.007,0.0
1,0.075,0.235,0.256,0.191,28.284,14.142,4.87,0.035,0.002
2,0.007,0.035,0.012,0.044,28.284,14.142,4.937,0.082,0.005
3,0.062,0.12,0.042,0.169,28.284,14.142,1.081,0.065,0.006
4,0.017,0.018,0.068,0.022,28.284,14.142,3.569,0.061,0.007
5,0.014,0.021,0.017,0.026,28.284,14.142,3.507,0.038,0.005
6,0.015,0.007,0.021,0.033,28.284,14.142,0.295,0.039,0.006
7,0.028,0.021,0.016,0.026,28.284,14.142,13.485,0.025,0.005
8,0.012,0.017,0.055,0.026,28.284,14.142,10.392,0.027,0.006
9,0.016,0.024,0.02,0.062,28.284,14.142,5.978,0.014,0.004
10,0.012,0.002,0.012,0.007,28.284,14.142,3.761,0.014,0.004
11,0.028,0.019,0.062,0.033,28.284,14.142,3.378,0.01,0.004
12,0.006,0.013,0.001,0.026,28.284,14.142,13.766,0.013,0.005
13,0.004,0.011,0.002,0.018,28.284,14.142,10.612,0.007,0.004
14,0.007,0.0,0.011,0.011,28.284,14.142,7.76,0.008,0.004
15,0.01,0.02,0.001,0.037,28.284,14.142,0.491,0.013,0.004
16,0.011,0.001,0.006,0.004,15.556,7.778,9.469,0.001,0.001
17,0.011,0.003,0.002,0.007,15.556,7.778,23.257,0.002,0.0
18,0.004,0.003,0.021,0.015,14.142,7.071,18.73,0.001,0.001
19,0.012,0.021,0.003,0.04,16.971,8.485,22.105,0.001,0.0
20,0.002,0.028,0.042,0.015,11.314,5.657,20.873,0.001,0.0
