,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.194,0.702,0.715,0.689,200.0,200.0,264.797,0.34,0.099
1,0.163,0.776,0.835,0.726,280.0,240.0,294.134,0.368,0.094
2,0.165,0.806,0.832,0.782,360.0,280.0,304.571,0.41,0.087
3,0.156,0.823,0.832,0.816,440.0,320.0,301.743,0.414,0.082
4,0.149,0.847,0.854,0.84,520.0,360.0,316.518,0.422,0.076
5,0.142,0.838,0.832,0.845,600.0,400.0,313.98,0.423,0.07
6,0.139,0.864,0.907,0.828,680.0,440.0,320.204,0.421,0.065
7,0.134,0.867,0.899,0.837,760.0,480.0,342.923,0.432,0.058
8,0.127,0.884,0.91,0.859,840.0,520.0,340.201,0.433,0.051
9,0.126,0.888,0.922,0.857,920.0,560.0,347.947,0.436,0.044
10,0.123,0.894,0.923,0.867,1000.0,600.0,358.693,0.439,0.037
11,0.119,0.878,0.899,0.859,1080.0,640.0,358.568,0.444,0.029
12,0.094,0.906,0.933,0.881,1160.0,680.0,358.812,0.445,0.022
13,0.104,0.911,0.919,0.903,1240.0,720.0,370.762,0.448,0.013
14,0.098,0.908,0.934,0.883,1320.0,760.0,372.819,0.45,0.006
15,0.092,0.902,0.926,0.879,1363.0,781.5,375.238,0.438,0.006
16,0.111,0.904,0.933,0.876,1403.0,801.5,383.455,0.427,0.005
17,0.096,0.903,0.93,0.879,1446.0,823.0,375.003,0.416,0.005
18,0.109,0.887,0.906,0.869,1488.0,844.0,380.716,0.408,0.004
19,0.09,0.9,0.907,0.893,1528.0,864.0,386.742,0.398,0.003
20,0.096,0.89,0.905,0.876,1569.0,884.5,396.713,0.389,0.003
