,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.345,0.39,0.588,0.323,200,355.885,0.107,0.107
1,0.272,0.484,0.586,0.43,240,399.639,0.162,0.105
2,0.24,0.686,0.78,0.614,280,404.546,0.2,0.103
3,0.175,0.783,0.814,0.761,320,419.617,0.248,0.099
4,0.163,0.789,0.837,0.751,360,406.524,0.27,0.096
5,0.18,0.776,0.841,0.724,400,408.537,0.297,0.093
6,0.143,0.815,0.873,0.767,440,402.124,0.312,0.09
7,0.128,0.839,0.903,0.786,480,417.95,0.33,0.087
8,0.111,0.875,0.927,0.829,520,412.727,0.347,0.083
9,0.108,0.861,0.904,0.825,560,420.623,0.356,0.08
10,0.176,0.698,0.725,0.673,600,426.079,0.363,0.077
11,0.097,0.866,0.92,0.821,636,419.271,0.369,0.075
12,0.182,0.71,0.751,0.673,676,422.623,0.376,0.071
13,0.192,0.7,0.72,0.683,712,430.751,0.384,0.068
14,0.167,0.719,0.746,0.694,748,422.057,0.383,0.066
15,0.228,0.68,0.727,0.64,784,436.634,0.384,0.063
16,0.103,0.871,0.884,0.861,820,445.534,0.393,0.06
17,0.176,0.704,0.733,0.679,860,441.841,0.395,0.057
18,0.182,0.711,0.727,0.696,896,456.194,0.398,0.053
19,0.466,0.178,0.187,0.169,932,459.334,0.399,0.051
20,0.087,0.894,0.925,0.865,956,454.531,0.397,0.049
