,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.048,0.291,0.262,0.273,0.0,2.846,0.019,0.001
1,0.115,0.301,0.244,0.276,0.0,9.628,0.055,0.003
2,0.047,0.078,0.081,0.152,9.839,6.526,0.083,0.006
3,0.018,0.033,0.062,0.085,9.839,11.386,0.058,0.005
4,0.029,0.022,0.036,0.061,9.839,6.664,0.045,0.005
5,0.032,0.024,0.053,0.042,9.839,6.968,0.03,0.004
6,0.03,0.028,0.016,0.043,9.839,14.114,0.029,0.004
7,0.025,0.025,0.022,0.037,9.839,9.229,0.026,0.004
8,0.033,0.025,0.024,0.045,9.839,11.211,0.02,0.004
9,0.018,0.02,0.008,0.041,9.839,8.758,0.019,0.004
10,0.009,0.01,0.015,0.016,9.839,21.737,0.015,0.004
11,0.014,0.014,0.019,0.016,9.839,9.184,0.018,0.004
12,0.01,0.005,0.019,0.011,9.839,7.506,0.019,0.005
13,0.019,0.009,0.019,0.004,9.839,11.946,0.019,0.005
14,0.214,0.396,0.405,0.388,9.839,11.609,0.017,0.006
15,0.018,0.015,0.03,0.024,27.619,12.654,0.014,0.006
16,0.014,0.012,0.021,0.023,23.298,19.547,0.007,0.002
17,0.015,0.014,0.019,0.024,18.461,12.921,0.004,0.001
18,0.011,0.011,0.031,0.016,17.286,5.174,0.004,0.001
19,0.023,0.013,0.017,0.016,16.709,8.963,0.004,0.001
20,0.012,0.006,0.013,0.01,14.1,12.278,0.004,0.001
