,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.021,0.019,0.031,0.011,0.0,0.0,0.0,45.02
1,0.019,0.0,0.0,0.0,0.0,0.0,0.0,27.756
2,0.002,0.0,0.0,0.0,0.0,0.0,0.0,31.216
3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,32.253
4,0.016,0.0,0.0,0.0,0.0,0.0,0.0,27.113
5,0.015,0.11,0.226,0.076,0.0,0.0,0.0,32.493
6,0.087,0.17,0.208,0.146,0.0,0.0,0.0,27.758
7,0.134,0.148,0.224,0.09,0.0,0.0,0.0,22.653
8,0.046,0.099,0.052,0.128,0.0,0.0,0.0,31.204
9,0.031,0.069,0.076,0.146,0.0,0.0,0.0,37.739
10,0.051,0.124,0.048,0.17,0.0,0.0,0.0,36.472
11,0.046,0.041,0.024,0.094,0.0,0.0,0.0,25.129
12,0.004,0.014,0.051,0.036,0.0,0.0,0.0,40.433
13,0.036,0.039,0.017,0.059,0.0,0.0,0.0,37.065
14,0.014,0.005,0.041,0.049,0.0,0.0,0.0,25.778
15,0.011,0.019,0.024,0.017,0.0,0.0,0.0,22.802
16,0.023,0.026,0.013,0.063,0.0,0.0,0.0,22.361
17,0.014,0.014,0.007,0.022,0.0,0.0,0.0,27.855
18,0.024,0.014,0.043,0.018,0.0,0.0,0.0,33.253
19,0.008,0.022,0.067,0.026,0.0,0.0,0.0,27.042
20,0.015,0.005,0.025,0.015,0.0,0.0,0.0,23.26
21,0.03,0.009,0.029,0.027,0.0,0.0,0.0,36.078
22,0.017,0.005,0.017,0.012,0.0,0.0,0.0,30.13
23,0.006,0.006,0.018,0.018,0.0,0.0,0.0,36.72
24,0.035,0.024,0.061,0.015,0.0,0.0,0.0,29.604
25,0.01,0.015,0.015,0.017,0.0,0.0,0.0,31.675
26,0.004,0.021,0.048,0.018,0.0,0.0,0.0,26.669
27,0.013,0.011,0.011,0.03,0.0,0.0,0.0,30.776
28,0.023,0.007,0.024,0.025,0.0,0.0,0.0,38.08
29,0.008,0.016,0.028,0.007,0.0,0.0,0.0,40.643
30,0.029,0.008,0.029,0.022,0.0,0.0,0.0,30.539
