,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.048,0.291,0.262,0.273,0.0,12.479,0.019,0.001
1,0.062,0.283,0.292,0.254,0.0,9.417,0.04,0.002
2,0.052,0.07,0.081,0.071,0.0,11.508,0.053,0.003
3,0.024,0.018,0.063,0.066,0.0,26.833,0.047,0.003
4,0.035,0.059,0.071,0.086,0.0,5.098,0.045,0.003
5,0.044,0.066,0.067,0.091,0.0,10.591,0.028,0.002
6,0.016,0.025,0.04,0.061,0.0,9.175,0.024,0.002
7,0.026,0.029,0.042,0.063,0.0,9.261,0.03,0.003
8,0.023,0.017,0.021,0.028,0.0,9.742,0.033,0.003
9,0.016,0.021,0.045,0.053,0.0,10.62,0.027,0.003
10,0.173,0.39,0.405,0.377,0.0,10.827,0.028,0.003
11,0.004,0.041,0.015,0.074,8.944,20.055,0.029,0.004
12,0.203,0.397,0.42,0.377,8.944,20.439,0.023,0.003
13,0.216,0.392,0.404,0.383,10.954,4.677,0.019,0.003
14,0.188,0.402,0.417,0.389,10.954,8.166,0.02,0.003
15,0.198,0.386,0.409,0.367,8.944,12.407,0.025,0.004
16,0.023,0.044,0.084,0.007,14.142,22.41,0.022,0.004
17,0.2,0.394,0.41,0.382,14.142,24.221,0.02,0.004
18,0.206,0.398,0.407,0.389,16.733,22.484,0.018,0.004
19,0.205,0.397,0.418,0.378,22.804,12.422,0.018,0.005
20,0.011,0.014,0.028,0.017,26.077,22.28,0.021,0.006
