,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.051,0.366,0.299,0.388,0.0,0.0,7.628,0.007,0.0
1,0.009,0.008,0.004,0.01,0.0,0.0,1.522,0.03,0.002
2,0.028,0.002,0.027,0.017,0.0,0.0,1.481,0.026,0.002
3,0.003,0.01,0.031,0.041,0.0,0.0,4.505,0.011,0.001
4,0.004,0.006,0.002,0.01,0.0,0.0,2.787,0.011,0.001
5,0.0,0.011,0.08,0.058,0.0,0.0,3.614,0.011,0.001
6,0.026,0.017,0.035,0.0,0.0,0.0,6.078,0.002,0.0
7,0.011,0.019,0.016,0.021,0.0,0.0,11.605,0.006,0.001
8,0.0,0.005,0.028,0.014,0.0,0.0,8.748,0.005,0.001
9,0.016,0.024,0.031,0.017,0.0,0.0,5.725,0.008,0.002
10,0.005,0.012,0.018,0.007,0.0,0.0,11.813,0.004,0.001
11,0.003,0.014,0.018,0.01,0.0,0.0,8.919,0.001,0.0
12,0.008,0.011,0.026,0.003,0.0,0.0,4.113,0.001,0.0
13,0.017,0.001,0.01,0.007,0.0,0.0,22.693,0.004,0.001
14,0.002,0.014,0.001,0.027,0.0,0.0,11.694,0.003,0.001
15,0.001,0.01,0.038,0.017,0.0,0.0,20.803,0.005,0.002
16,0.023,0.012,0.014,0.01,2.828,1.414,9.725,0.004,0.002
17,0.002,0.003,0.006,0.0,0.0,0.0,5.56,0.004,0.002
18,0.02,0.021,0.019,0.024,4.243,2.121,3.724,0.006,0.002
19,0.014,0.007,0.01,0.003,8.485,4.243,22.408,0.007,0.002
20,0.003,0.005,0.005,0.014,7.071,3.536,7.112,0.006,0.002
