,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.403,0.249,0.277,0.261,200.0,181.343,0.093,0.102
1,0.377,0.385,0.507,0.319,266.667,191.172,0.17,0.099
2,0.384,0.526,0.592,0.474,346.667,198.127,0.225,0.095
3,0.357,0.55,0.657,0.483,426.667,209.885,0.259,0.091
4,0.357,0.551,0.642,0.491,506.667,209.754,0.282,0.087
5,0.311,0.59,0.677,0.523,586.667,213.731,0.301,0.083
6,0.335,0.581,0.687,0.509,666.667,212.807,0.316,0.079
7,0.299,0.604,0.683,0.541,746.667,218.227,0.331,0.074
8,0.311,0.616,0.704,0.547,826.667,227.23,0.341,0.069
9,0.299,0.633,0.71,0.571,906.667,231.072,0.352,0.064
10,0.278,0.665,0.718,0.62,986.667,233.564,0.358,0.059
