,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.403,0.249,0.277,0.261,200.0,128.688,0.093,0.102
1,0.382,0.482,0.517,0.463,233.333,137.421,0.154,0.1
2,0.364,0.538,0.538,0.538,273.333,146.435,0.178,0.099
3,0.375,0.554,0.565,0.557,313.333,147.717,0.196,0.097
4,0.35,0.557,0.583,0.54,353.333,147.897,0.211,0.096
5,0.346,0.574,0.669,0.503,393.333,155.592,0.238,0.093
6,0.32,0.595,0.644,0.563,433.333,154.361,0.259,0.091
7,0.295,0.624,0.729,0.546,473.333,152.56,0.27,0.089
8,0.259,0.647,0.72,0.588,513.333,154.563,0.286,0.087
9,0.288,0.634,0.678,0.597,553.333,161.228,0.296,0.085
10,0.243,0.62,0.657,0.594,593.333,160.774,0.306,0.082
11,0.269,0.636,0.69,0.594,633.333,160.833,0.314,0.08
12,0.292,0.643,0.741,0.573,673.333,165.336,0.317,0.078
13,0.243,0.64,0.688,0.607,713.333,172.166,0.323,0.076
14,0.264,0.651,0.752,0.575,753.333,168.146,0.325,0.074
15,0.254,0.683,0.738,0.637,793.333,171.872,0.333,0.072
16,0.258,0.675,0.754,0.611,833.333,178.587,0.334,0.07
17,0.251,0.684,0.768,0.617,873.333,177.459,0.337,0.067
18,0.326,0.569,0.613,0.531,913.333,176.806,0.345,0.064
19,0.238,0.663,0.751,0.595,953.333,178.293,0.343,0.063
20,0.255,0.679,0.76,0.614,993.333,184.739,0.351,0.06
