,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.403,0.249,0.277,0.261,200.0,200.0,164.257,0.093,0.102
1,0.41,0.443,0.512,0.413,266.667,233.333,172.136,0.17,0.099
2,0.363,0.528,0.56,0.51,346.667,273.333,178.337,0.212,0.096
3,0.351,0.564,0.63,0.524,426.667,313.333,182.279,0.243,0.092
4,0.352,0.563,0.638,0.507,506.667,353.333,186.021,0.275,0.088
5,0.315,0.571,0.648,0.514,586.667,393.333,191.837,0.288,0.084
6,0.328,0.6,0.668,0.546,666.667,433.333,197.881,0.301,0.08
7,0.296,0.63,0.687,0.587,746.667,473.333,200.911,0.315,0.076
8,0.331,0.616,0.693,0.557,826.667,513.333,203.553,0.324,0.071
9,0.31,0.646,0.731,0.58,906.667,553.333,206.934,0.332,0.067
10,0.291,0.66,0.742,0.595,986.667,593.333,210.286,0.343,0.061
11,0.273,0.678,0.758,0.613,1066.667,633.333,215.557,0.351,0.056
12,0.274,0.675,0.734,0.625,1146.667,673.333,220.11,0.357,0.05
13,0.266,0.686,0.756,0.628,1226.667,713.333,225.788,0.362,0.045
14,0.244,0.712,0.769,0.665,1306.667,753.333,224.159,0.364,0.04
15,0.243,0.701,0.767,0.645,1386.667,793.333,229.563,0.368,0.034
16,0.264,0.689,0.766,0.627,1466.667,833.333,242.415,0.368,0.03
17,0.265,0.7,0.79,0.63,1538.667,869.333,244.655,0.366,0.026
18,0.267,0.698,0.795,0.624,1610.667,905.333,247.762,0.363,0.023
19,0.245,0.699,0.77,0.641,1672.667,936.333,248.283,0.356,0.022
20,0.244,0.706,0.779,0.645,1728.0,964.0,257.665,0.35,0.021
