,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.173,0.217,0.259,0.255,200.0,22.919,0.019,0.001
1,0.041,0.132,0.2,0.124,266.667,27.979,0.026,0.001
2,0.006,0.004,0.022,0.02,346.667,30.336,0.042,0.002
3,0.004,0.035,0.083,0.081,426.667,16.45,0.025,0.002
4,0.014,0.023,0.063,0.077,506.667,13.752,0.01,0.001
5,0.011,0.015,0.028,0.019,586.667,14.987,0.022,0.003
6,0.008,0.016,0.055,0.052,666.667,10.999,0.027,0.004
7,0.036,0.015,0.028,0.007,746.667,12.157,0.023,0.003
8,0.042,0.021,0.018,0.022,826.667,9.093,0.018,0.003
9,0.024,0.013,0.026,0.013,906.667,11.466,0.014,0.003
10,0.026,0.011,0.023,0.015,986.667,9.555,0.017,0.004
