,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.096,0.0,0.0,0.0,0.0,0.0,10,20.732
1,0.025,0.0,0.0,0.0,0.0,0.0,20,21.176
2,0.008,0.0,0.0,0.0,0.0,0.0,40,14.91
3,0.016,0.005,0.289,0.002,0.0,0.0,60,10.506
4,0.019,0.122,0.346,0.088,0.0,0.0,80,11.493
5,0.015,0.174,0.283,0.126,0.0,0.0,100,8.882
6,0.022,0.126,0.251,0.085,0.0,0.0,120,9.385
7,0.053,0.106,0.109,0.083,0.0,0.0,140,7.045
8,0.013,0.071,0.001,0.099,0.0,0.0,160,7.743
9,0.029,0.024,0.006,0.05,0.0,0.0,180,9.206
10,0.033,0.02,0.032,0.139,0.0,0.0,200,10.187
11,0.027,0.013,0.017,0.029,0.0,0.0,240,8.787
12,0.022,0.039,0.029,0.071,0.0,0.0,280,10.992
13,0.062,0.017,0.026,0.009,0.0,0.0,320,10.489
14,0.01,0.018,0.054,0.077,0.0,0.0,360,10.474
15,0.028,0.016,0.052,0.078,0.0,0.0,400,11.428
16,0.013,0.016,0.045,0.036,0.0,0.0,440,9.514
17,0.035,0.005,0.076,0.083,0.0,0.0,480,10.018
18,0.028,0.015,0.017,0.03,0.0,0.0,520,12.334
19,0.022,0.02,0.019,0.05,0.0,0.0,560,11.067
20,0.006,0.004,0.009,0.01,0.0,0.0,600,9.882
21,0.013,0.008,0.035,0.022,0.0,0.0,640,10.978
22,0.04,0.016,0.021,0.046,0.0,0.0,680,9.559
23,0.008,0.024,0.015,0.048,0.0,0.0,720,11.46
24,0.13,0.388,0.39,0.387,0.0,0.0,760,13.729
25,0.026,0.034,0.048,0.035,0.0,0.0,800,13.73
26,0.02,0.002,0.017,0.017,0.0,0.0,840,13.021
27,0.012,0.002,0.02,0.018,0.0,0.0,880,15.037
28,0.018,0.039,0.04,0.069,0.0,0.0,920,14.082
29,0.004,0.004,0.023,0.011,0.0,0.0,960,13.592
30,0.047,0.007,0.028,0.01,0.0,0.0,1000,15.41
