,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.173,0.217,0.259,0.255,200.0,9.749,0.019,0.001
1,0.045,0.007,0.071,0.062,233.333,19.252,0.008,0.0
2,0.025,0.02,0.004,0.038,273.333,18.796,0.023,0.001
3,0.035,0.028,0.051,0.103,313.333,14.068,0.029,0.002
4,0.007,0.028,0.081,0.041,353.333,11.033,0.03,0.002
5,0.009,0.014,0.006,0.02,393.333,15.267,0.022,0.001
6,0.071,0.052,0.114,0.056,433.333,10.166,0.029,0.002
7,0.041,0.024,0.034,0.026,473.333,10.877,0.025,0.002
8,0.009,0.018,0.029,0.02,513.333,9.433,0.022,0.002
9,0.016,0.027,0.033,0.036,553.333,10.14,0.019,0.002
10,0.051,0.036,0.087,0.061,593.333,12.947,0.014,0.001
11,0.037,0.014,0.047,0.046,633.333,7.483,0.018,0.001
12,0.044,0.031,0.043,0.068,673.333,9.362,0.023,0.002
13,0.048,0.021,0.08,0.067,713.333,15.069,0.022,0.003
14,0.004,0.029,0.011,0.051,753.333,4.796,0.026,0.003
15,0.027,0.011,0.014,0.023,793.333,12.435,0.026,0.004
16,0.022,0.014,0.034,0.004,833.333,11.702,0.023,0.003
17,0.027,0.021,0.042,0.012,873.333,11.619,0.022,0.003
18,0.12,0.211,0.236,0.19,913.333,7.013,0.02,0.003
19,0.045,0.013,0.024,0.035,953.333,6.003,0.015,0.002
20,0.022,0.023,0.037,0.037,993.333,11.969,0.014,0.002
