,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.548,0.0,0.0,0.0,10,0.233,0.18,294.583
1,0.417,0.05,0.201,0.029,20,0.217,0.179,307.632
2,0.167,0.577,0.613,0.551,40,0.242,0.179,294.753
3,0.108,0.901,0.854,0.955,60,0.222,0.179,302.23
4,0.111,0.893,0.82,0.98,80,0.204,0.179,308.884
5,0.091,0.922,0.886,0.962,100,0.2,0.179,320.885
6,0.079,0.927,0.885,0.974,120,0.189,0.179,311.317
7,0.054,0.956,0.951,0.962,140,0.198,0.179,315.411
8,0.095,0.935,0.902,0.973,160,0.192,0.179,314.225
9,0.094,0.944,0.929,0.96,180,0.194,0.179,329.202
10,0.068,0.954,0.937,0.971,200,0.195,0.179,326.901
11,0.105,0.936,0.907,0.971,240,0.186,0.179,328.197
12,0.076,0.95,0.921,0.982,280,0.183,0.179,331.985
13,0.073,0.958,0.952,0.965,320,0.184,0.179,319.172
14,0.06,0.965,0.959,0.97,360,0.18,0.18,353.668
15,0.062,0.967,0.967,0.968,400,0.175,0.18,337.091
16,0.059,0.963,0.972,0.954,440,0.178,0.18,347.287
17,0.05,0.968,0.962,0.973,480,0.181,0.18,346.682
18,0.062,0.963,0.954,0.973,520,0.178,0.18,353.012
19,0.037,0.98,0.989,0.971,560,0.183,0.179,351.832
20,0.055,0.972,0.977,0.968,600,0.184,0.179,353.505
21,0.057,0.964,0.969,0.96,640,0.189,0.179,356.621
22,0.042,0.975,0.98,0.97,680,0.189,0.179,353.878
23,0.033,0.98,0.984,0.977,720,0.193,0.178,370.397
24,0.037,0.977,0.98,0.973,760,0.193,0.178,369.723
25,0.04,0.977,0.976,0.977,800,0.192,0.178,380.212
26,0.036,0.974,0.98,0.967,840,0.189,0.178,369.07
27,0.037,0.971,0.962,0.98,880,0.188,0.179,393.48
28,0.033,0.976,0.982,0.971,920,0.186,0.179,377.646
29,0.035,0.977,0.979,0.976,960,0.188,0.178,379.404
30,0.04,0.977,0.984,0.97,1000,0.188,0.178,391.462
31,0.024,0.984,0.988,0.98,1854,0.187,0.177,434.6
32,0.023,0.987,0.989,0.986,3708,0.181,0.178,582.747
33,0.012,0.991,0.995,0.988,7417,0.18,0.18,841.099
